inputName,text,data,bss
values_11,208,1158,585
values_19,208,1766,889
values_12,208,1296,655
values_38,212,2118,1065
values_81,212,2704,1359
values_5,164,16,15
values_40,208,144,79
values_70,208,1766,889
values_23,208,1936,975
values_72,208,784,399
values_79,208,1296,655
values_78,204,102,57
values_87,208,1158,585
values_6,208,38,25
values_68,208,144,79
values_69,212,2704,1359
values_1,208,1296,655
values_45,208,1600,807
values_33,208,784,399
values_15,212,2118,1065
values_93,208,902,457
values_24,208,144,79
values_25,212,2502,1257
values_26,208,678,345
values_48,208,400,207
values_71,212,2502,1257
values_76,208,784,399
values_7,208,1446,729
values_50,212,2118,1065
values_22,208,1158,585
values_4,208,1296,655
values_32,164,16,15
values_77,208,784,399
values_91,208,902,457
values_42,208,1024,519
values_13,212,2704,1359
values_41,164,16,15
values_55,208,400,207
values_31,208,902,457
values_66,208,1446,729
values_65,208,1600,807
values_62,208,144,79
values_21,208,1766,889
values_95,208,1600,807
values_84,212,2118,1065
values_58,208,256,135
values_64,164,16,15
values_83,208,784,399
values_94,208,256,135
values_0,212,2118,1065
values_99,212,2502,1257
values_96,208,1158,585
values_67,212,2118,1065
values_61,208,1936,975
values_43,208,198,105
values_2,208,1024,519
values_54,208,678,345
values_30,208,1446,729
values_59,208,38,25
values_85,208,1296,655
values_74,208,326,169
values_90,164,16,15
values_18,208,1600,807
values_52,208,1600,807
values_44,208,38,25
values_17,208,486,249
values_36,208,784,399
values_49,208,2304,1159
values_86,204,102,57
values_37,208,400,207
values_56,208,198,105
values_63,212,2704,1359
values_35,208,678,345
values_97,164,16,15
values_75,204,102,57
values_57,208,1766,889
values_88,208,1446,729
values_10,164,16,15
values_53,208,400,207
values_8,208,1158,585
values_39,208,902,457
values_47,208,1766,889
values_60,208,326,169
values_89,208,1158,585
values_51,208,400,207
values_14,208,144,79
values_28,212,2118,1065
values_16,212,2118,1065
values_34,208,1024,519
values_82,208,1024,519
values_46,208,326,169
values_27,208,1600,807
values_20,208,902,457
values_9,212,2118,1065
values_92,208,198,105
values_3,208,1600,807
values_98,208,1446,729
values_29,208,576,295
values_80,208,64,39
values_73,208,64,39
