inputName,text,data,bss
values_11,322,72,40
values_19,348,242,125
values_12,348,722,365
values_38,344,18,13
values_81,348,1250,629
values_5,348,1058,533
values_40,350,128,68
values_70,340,512,260
values_23,332,8,8
values_72,348,800,404
values_79,350,128,68
values_78,348,882,445
values_87,342,32,20
values_6,348,722,365
values_68,348,242,125
values_69,340,512,260
values_1,338,1152,580
values_45,344,18,13
values_33,348,338,173
values_15,338,1152,580
values_93,338,1152,580
values_24,352,50,29
values_25,348,1250,629
values_26,348,882,445
values_48,338,1152,580
values_71,348,1352,680
values_76,310,98,53
values_7,344,18,13
values_50,330,288,148
values_22,350,128,68
values_4,348,968,488
values_32,348,578,293
values_77,344,18,13
values_91,348,338,173
values_42,348,450,229
values_13,348,1352,680
values_41,368,648,328
values_55,330,288,148
values_31,332,8,8
values_66,348,1058,533
values_65,322,72,40
values_62,314,392,200
values_21,348,968,488
values_95,322,72,40
values_84,348,722,365
values_58,348,800,404
values_64,348,968,488
values_83,332,8,8
values_94,322,72,40
values_0,368,648,328
values_99,342,32,20
values_96,360,162,85
values_67,330,288,148
values_61,344,18,13
values_43,348,242,125
values_2,310,98,53
values_54,330,288,148
values_30,314,392,200
values_59,348,578,293
values_85,310,98,53
values_74,350,128,68
values_90,330,288,148
values_18,348,968,488
values_52,348,578,293
values_44,360,162,85
values_17,368,648,328
values_36,348,968,488
values_49,342,32,20
values_86,342,32,20
values_37,360,162,85
values_56,322,72,40
values_63,348,1058,533
values_35,340,512,260
values_97,352,50,29
values_75,348,968,488
values_57,348,578,293
values_88,348,1058,533
values_10,348,578,293
values_53,340,512,260
values_8,322,72,40
values_39,348,338,173
values_47,348,882,445
values_60,348,1352,680
values_89,348,722,365
values_51,338,1152,580
values_14,348,1352,680
values_28,348,242,125
values_16,322,72,40
values_34,330,288,148
values_82,350,128,68
values_46,360,162,85
values_27,348,242,125
values_20,348,450,229
values_9,348,450,229
values_92,322,72,40
values_3,348,338,173
values_98,338,1152,580
values_29,310,98,53
values_80,340,512,260
values_73,314,392,200
