inputName,text,data,bss
values_11,624,2312,1160
values_19,1324,392,200
values_12,900,288,148
values_38,168,4232,2120
values_81,488,72,40
values_5,1708,512,260
values_40,436,1352,680
values_70,468,1568,788
values_23,624,2312,1160
values_72,352,800,404
values_79,144,32,20
values_78,368,1152,580
values_87,168,2592,1300
values_6,168,5000,2504
values_68,168,2888,1448
values_69,292,648,328
values_1,624,2312,1160
values_45,624,2312,1160
values_33,168,3872,1940
values_15,436,1352,680
values_93,168,3200,1604
values_24,584,2048,1028
values_25,292,648,328
values_26,488,72,40
values_48,1324,392,200
values_71,168,4232,2120
values_76,144,32,20
values_7,1080,128,68
values_50,168,4232,2120
values_22,168,5408,2708
values_4,168,4608,2308
values_32,168,2888,1448
values_77,1080,128,68
values_91,436,1352,680
values_42,144,32,20
values_13,292,648,328
values_41,168,2888,1448
values_55,168,3872,1940
values_31,1080,128,68
values_66,168,4232,2120
values_65,1708,512,260
values_62,168,5408,2708
values_21,292,648,328
values_95,436,1352,680
values_84,624,2312,1160
values_58,168,5408,2708
values_64,456,1800,904
values_83,144,32,20
values_94,488,72,40
values_0,168,2592,1300
values_99,344,968,488
values_96,352,800,404
values_67,168,2592,1300
values_61,168,3872,1940
values_43,436,1352,680
values_2,624,2312,1160
values_54,584,2048,1028
values_30,144,32,20
values_59,292,648,328
values_85,168,3200,1604
values_74,624,2312,1160
values_90,168,4232,2120
values_18,368,1152,580
values_52,1708,512,260
values_44,352,800,404
values_17,168,3872,1940
values_36,344,968,488
values_49,168,3528,1768
values_86,344,968,488
values_37,344,968,488
values_56,624,2312,1160
values_63,168,2888,1448
values_35,168,3200,1604
values_97,468,1568,788
values_75,168,5000,2504
values_57,168,4608,2308
values_88,1708,512,260
values_10,168,2888,1448
values_53,168,2888,1448
values_8,1324,392,200
values_39,580,200,104
values_47,900,288,148
values_60,168,2592,1300
values_89,584,2048,1028
values_51,352,800,404
values_14,1708,512,260
values_28,1080,128,68
values_16,344,968,488
values_34,168,2592,1300
values_82,900,288,148
values_46,580,200,104
values_27,168,3528,1768
values_20,488,72,40
values_9,1708,512,260
values_92,1080,128,68
values_3,168,3528,1768
values_98,584,2048,1028
values_29,368,1152,580
values_80,1324,392,200
values_73,488,72,40
