id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,279241,204060,25973,366978,278541,163655,100.00,100.00,100.00,100.00,10.751,0.761,1.003,1.706
values_19,52161,38260,4933,68328,51881,30393,100.00,100.00,100.00,100.00,10.574,0.763,1.005,1.716
values_12,52161,38260,4933,68328,51881,30393,100.00,100.00,100.00,100.00,10.574,0.763,1.005,1.716
values_38,401380,293151,37238,527709,400515,235520,100.00,100.00,100.00,100.00,10.779,0.761,1.002,1.704
values_81,184804,135147,17246,242733,184251,108212,100.00,100.00,100.00,100.00,10.716,0.761,1.003,1.708
values_5,13223,9821,1238,16653,12651,6875,100.00,100.00,100.00,100.00,10.681,0.794,1.045,1.923
values_40,213425,156036,19893,280384,212825,125025,100.00,100.00,100.00,100.00,10.729,0.761,1.003,1.707
values_70,95820,70171,8998,125709,95435,55980,100.00,100.00,100.00,100.00,10.649,0.762,1.004,1.712
values_23,2850,2005,341,4368,3321,1925,100.00,100.00,100.00,100.00,8.358,0.652,0.858,1.481
values_72,135476,99135,12678,177853,135011,79248,100.00,100.00,100.00,100.00,10.686,0.762,1.003,1.710
values_79,114505,83820,10733,150276,114081,66941,100.00,100.00,100.00,100.00,10.668,0.762,1.004,1.711
values_78,279241,204060,25973,366978,278541,163655,100.00,100.00,100.00,100.00,10.751,0.761,1.003,1.706
values_87,24957,18469,2326,31773,24131,15190,100.00,100.00,100.00,100.00,10.730,0.785,1.034,1.643
values_6,135476,99135,12678,177853,135011,79248,100.00,100.00,100.00,100.00,10.686,0.762,1.003,1.710
values_68,5921,4421,558,7309,5555,3478,100.00,100.00,100.00,100.00,10.611,0.810,1.066,1.702
values_69,131,91,38,381,291,261,100.00,100.00,100.00,100.00,3.447,0.344,0.450,0.502
values_1,67558,46601,7461,103978,78941,46287,100.00,100.00,100.00,100.00,9.055,0.650,0.856,1.460
values_45,357369,261052,33181,469788,356561,209637,100.00,100.00,100.00,100.00,10.770,0.761,1.002,1.705
values_33,67558,46601,7461,103978,78941,46287,100.00,100.00,100.00,100.00,9.055,0.650,0.856,1.460
values_15,158865,116212,14845,208614,158357,92979,100.00,100.00,100.00,100.00,10.702,0.762,1.003,1.709
values_93,18470,13691,1725,23404,17777,11179,100.00,100.00,100.00,100.00,10.707,0.789,1.039,1.652
values_24,1498,1049,190,2349,1787,994,100.00,100.00,100.00,100.00,7.884,0.638,0.838,1.507
values_25,730,523,93,1078,821,475,100.00,100.00,100.00,100.00,7.849,0.677,0.889,1.537
values_26,41300,30315,3918,54061,41051,24036,100.00,100.00,100.00,100.00,10.541,0.764,1.006,1.718
values_48,158865,116212,14845,208614,158357,92979,100.00,100.00,100.00,100.00,10.702,0.762,1.003,1.709
values_71,18470,13691,1725,23404,17777,11179,100.00,100.00,100.00,100.00,10.707,0.789,1.039,1.652
values_76,2850,2005,341,4368,3321,1925,100.00,100.00,100.00,100.00,8.358,0.652,0.858,1.481
values_7,1498,1049,190,2349,1787,994,100.00,100.00,100.00,100.00,7.884,0.638,0.838,1.507
values_50,9084,6763,853,11346,8621,5407,100.00,100.00,100.00,100.00,10.649,0.801,1.054,1.680
values_22,5921,4421,558,7309,5555,3478,100.00,100.00,100.00,100.00,10.611,0.810,1.066,1.702
values_4,279241,204060,25973,366978,278541,163655,100.00,100.00,100.00,100.00,10.751,0.761,1.003,1.706
values_32,9084,6763,853,11346,8621,5407,100.00,100.00,100.00,100.00,10.649,0.801,1.054,1.680
values_77,2850,2005,341,4368,3321,1925,100.00,100.00,100.00,100.00,8.358,0.652,0.858,1.481
values_91,67558,46601,7461,103978,78941,46287,100.00,100.00,100.00,100.00,9.055,0.650,0.856,1.460
values_42,131,91,38,381,291,261,100.00,100.00,100.00,100.00,3.447,0.344,0.450,0.502
values_13,131,91,38,381,291,261,100.00,100.00,100.00,100.00,3.447,0.344,0.450,0.502
values_41,357369,261052,33181,469788,356561,209637,100.00,100.00,100.00,100.00,10.770,0.761,1.002,1.705
values_55,24957,18469,2326,31773,24131,15190,100.00,100.00,100.00,100.00,10.730,0.785,1.034,1.643
values_31,401380,293151,37238,527709,400515,235520,100.00,100.00,100.00,100.00,10.779,0.761,1.002,1.704
values_66,9084,6763,853,11346,8621,5407,100.00,100.00,100.00,100.00,10.649,0.801,1.054,1.680
values_65,158865,116212,14845,208614,158357,92979,100.00,100.00,100.00,100.00,10.702,0.762,1.003,1.709
values_62,52161,38260,4933,68328,51881,30393,100.00,100.00,100.00,100.00,10.574,0.763,1.005,1.716
values_21,9084,6763,853,11346,8621,5407,100.00,100.00,100.00,100.00,10.649,0.801,1.054,1.680
values_95,213425,156036,19893,280384,212825,125025,100.00,100.00,100.00,100.00,10.729,0.761,1.003,1.707
values_84,401380,293151,37238,527709,400515,235520,100.00,100.00,100.00,100.00,10.779,0.761,1.002,1.704
values_58,316700,231387,29430,416269,315947,185724,100.00,100.00,100.00,100.00,10.761,0.761,1.002,1.705
values_64,1498,1049,190,2349,1787,994,100.00,100.00,100.00,100.00,7.884,0.638,0.838,1.507
values_83,244860,178975,22798,321741,244211,143496,100.00,100.00,100.00,100.00,10.740,0.761,1.003,1.706
values_94,114505,83820,10733,150276,114081,66941,100.00,100.00,100.00,100.00,10.668,0.762,1.004,1.711
values_0,1498,1049,190,2349,1787,994,100.00,100.00,100.00,100.00,7.884,0.638,0.838,1.507
values_99,213425,156036,19893,280384,212825,125025,100.00,100.00,100.00,100.00,10.729,0.761,1.003,1.707
values_96,131,91,38,381,291,261,100.00,100.00,100.00,100.00,3.447,0.344,0.450,0.502
values_67,2850,2005,341,4368,3321,1925,100.00,100.00,100.00,100.00,8.358,0.652,0.858,1.481
values_61,64780,47487,6110,84909,64467,37784,100.00,100.00,100.00,100.00,10.602,0.763,1.005,1.714
values_43,184804,135147,17246,242733,184251,108212,100.00,100.00,100.00,100.00,10.716,0.761,1.003,1.708
values_2,357369,261052,33181,469788,356561,209637,100.00,100.00,100.00,100.00,10.770,0.761,1.002,1.705
values_54,67558,46601,7461,103978,78941,46287,100.00,100.00,100.00,100.00,9.055,0.650,0.856,1.460
values_30,213425,156036,19893,280384,212825,125025,100.00,100.00,100.00,100.00,10.729,0.761,1.003,1.707
values_59,730,523,93,1078,821,475,100.00,100.00,100.00,100.00,7.849,0.677,0.889,1.537
values_85,64780,47487,6110,84909,64467,37784,100.00,100.00,100.00,100.00,10.602,0.763,1.005,1.714
values_74,213425,156036,19893,280384,212825,125025,100.00,100.00,100.00,100.00,10.729,0.761,1.003,1.707
values_90,5921,4421,558,7309,5555,3478,100.00,100.00,100.00,100.00,10.611,0.810,1.066,1.702
values_18,401380,293151,37238,527709,400515,235520,100.00,100.00,100.00,100.00,10.779,0.761,1.002,1.704
values_52,730,523,93,1078,821,475,100.00,100.00,100.00,100.00,7.849,0.677,0.889,1.537
values_44,316700,231387,29430,416269,315947,185724,100.00,100.00,100.00,100.00,10.761,0.761,1.002,1.705
values_17,1498,1049,190,2349,1787,994,100.00,100.00,100.00,100.00,7.884,0.638,0.838,1.507
values_36,24957,18469,2326,31773,24131,15190,100.00,100.00,100.00,100.00,10.730,0.785,1.034,1.643
values_49,158865,116212,14845,208614,158357,92979,100.00,100.00,100.00,100.00,10.702,0.762,1.003,1.709
values_86,316700,231387,29430,416269,315947,185724,100.00,100.00,100.00,100.00,10.761,0.761,1.002,1.705
values_37,135476,99135,12678,177853,135011,79248,100.00,100.00,100.00,100.00,10.686,0.762,1.003,1.710
values_56,401380,293151,37238,527709,400515,235520,100.00,100.00,100.00,100.00,10.779,0.761,1.002,1.704
values_63,135476,99135,12678,177853,135011,79248,100.00,100.00,100.00,100.00,10.686,0.762,1.003,1.710
values_35,5921,4421,558,7309,5555,3478,100.00,100.00,100.00,100.00,10.611,0.810,1.066,1.702
values_97,401380,293151,37238,527709,400515,235520,100.00,100.00,100.00,100.00,10.779,0.761,1.002,1.704
