id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,195,120,12,35,22,23,100.00,100.00,50.00,100.00,16.250,5.571,8.864,8.478
values_19,195,120,11,32,20,21,100.00,100.00,50.00,100.00,17.727,6.094,9.750,9.286
values_12,195,120,11,32,20,21,100.00,100.00,50.00,100.00,17.727,6.094,9.750,9.286
values_38,195,120,12,35,22,23,100.00,100.00,50.00,100.00,16.250,5.571,8.864,8.478
values_81,195,120,11,32,20,21,100.00,100.00,50.00,100.00,17.727,6.094,9.750,9.286
values_5,195,120,12,35,22,23,100.00,100.00,50.00,100.00,16.250,5.571,8.864,8.478
values_40,195,120,11,32,20,21,100.00,100.00,50.00,100.00,17.727,6.094,9.750,9.286
values_70,195,120,12,35,22,23,100.00,100.00,50.00,100.00,16.250,5.571,8.864,8.478
values_23,195,120,11,32,20,21,100.00,100.00,50.00,100.00,17.727,6.094,9.750,9.286
values_72,195,120,12,35,22,23,100.00,100.00,50.00,100.00,16.250,5.571,8.864,8.478
values_79,195,120,12,35,22,23,100.00,100.00,50.00,100.00,16.250,5.571,8.864,8.478
values_78,195,120,12,35,22,23,100.00,100.00,50.00,100.00,16.250,5.571,8.864,8.478
values_87,195,120,12,35,22,23,100.00,100.00,50.00,100.00,16.250,5.571,8.864,8.478
values_6,195,120,11,32,20,21,100.00,100.00,50.00,100.00,17.727,6.094,9.750,9.286
values_68,195,120,12,35,22,23,100.00,100.00,50.00,100.00,16.250,5.571,8.864,8.478
values_69,195,120,11,32,20,21,100.00,100.00,50.00,100.00,17.727,6.094,9.750,9.286
values_1,195,120,11,32,20,21,100.00,100.00,50.00,100.00,17.727,6.094,9.750,9.286
values_45,195,120,12,35,22,23,100.00,100.00,50.00,100.00,16.250,5.571,8.864,8.478
values_33,195,120,11,32,20,21,100.00,100.00,50.00,100.00,17.727,6.094,9.750,9.286
values_15,195,120,12,35,22,23,100.00,100.00,50.00,100.00,16.250,5.571,8.864,8.478
values_93,195,120,12,35,22,23,100.00,100.00,50.00,100.00,16.250,5.571,8.864,8.478
values_24,195,120,12,35,22,23,100.00,100.00,50.00,100.00,16.250,5.571,8.864,8.478
values_25,195,120,11,32,20,21,100.00,100.00,50.00,100.00,17.727,6.094,9.750,9.286
values_26,195,120,11,32,20,21,100.00,100.00,50.00,100.00,17.727,6.094,9.750,9.286
values_48,195,120,11,32,20,21,100.00,100.00,50.00,100.00,17.727,6.094,9.750,9.286
values_71,195,120,11,32,20,21,100.00,100.00,50.00,100.00,17.727,6.094,9.750,9.286
values_76,195,120,12,35,22,23,100.00,100.00,50.00,100.00,16.250,5.571,8.864,8.478
values_7,195,120,12,35,22,23,100.00,100.00,50.00,100.00,16.250,5.571,8.864,8.478
values_50,195,120,12,35,22,23,100.00,100.00,50.00,100.00,16.250,5.571,8.864,8.478
values_22,195,120,12,35,22,23,100.00,100.00,50.00,100.00,16.250,5.571,8.864,8.478
values_4,195,120,11,32,20,21,100.00,100.00,50.00,100.00,17.727,6.094,9.750,9.286
values_32,195,120,11,32,20,21,100.00,100.00,50.00,100.00,17.727,6.094,9.750,9.286
values_77,195,120,12,35,22,23,100.00,100.00,50.00,100.00,16.250,5.571,8.864,8.478
