id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,214,132,47,197,231,226,100.00,100.00,66.67,100.00,4.553,1.086,0.926,0.947
values_19,95,48,23,83,99,97,100.00,100.00,66.67,100.00,4.130,1.145,0.960,0.979
values_12,174,104,39,159,187,183,100.00,100.00,66.67,100.00,4.462,1.094,0.930,0.951
values_38,174,104,39,159,187,183,100.00,100.00,66.67,100.00,4.462,1.094,0.930,0.951
values_81,174,104,39,159,187,183,100.00,100.00,66.67,100.00,4.462,1.094,0.930,0.951
values_5,84,40,15,45,55,54,100.00,66.67,33.33,80.00,5.600,1.867,1.527,1.556
values_40,214,132,47,197,231,226,100.00,100.00,66.67,100.00,4.553,1.086,0.926,0.947
values_70,134,76,31,121,143,140,100.00,100.00,66.67,100.00,4.323,1.107,0.937,0.957
values_23,254,160,55,235,275,269,100.00,100.00,66.67,100.00,4.618,1.081,0.924,0.944
values_72,174,104,39,159,187,183,100.00,100.00,66.67,100.00,4.462,1.094,0.930,0.951
values_79,254,160,55,235,275,269,100.00,100.00,66.67,100.00,4.618,1.081,0.924,0.944
values_78,214,132,47,197,231,226,100.00,100.00,66.67,100.00,4.553,1.086,0.926,0.947
values_87,174,104,39,159,187,183,100.00,100.00,66.67,100.00,4.462,1.094,0.930,0.951
values_6,95,48,23,83,99,97,100.00,100.00,66.67,100.00,4.130,1.145,0.960,0.979
values_68,214,132,47,197,231,226,100.00,100.00,66.67,100.00,4.553,1.086,0.926,0.947
values_69,134,76,31,121,143,140,100.00,100.00,66.67,100.00,4.323,1.107,0.937,0.957
values_1,214,132,47,197,231,226,100.00,100.00,66.67,100.00,4.553,1.086,0.926,0.947
values_45,134,76,31,121,143,140,100.00,100.00,66.67,100.00,4.323,1.107,0.937,0.957
values_33,214,132,47,197,231,226,100.00,100.00,66.67,100.00,4.553,1.086,0.926,0.947
values_15,214,132,47,197,231,226,100.00,100.00,66.67,100.00,4.553,1.086,0.926,0.947
values_93,84,40,15,45,55,54,100.00,66.67,33.33,80.00,5.600,1.867,1.527,1.556
values_24,214,132,47,197,231,226,100.00,100.00,66.67,100.00,4.553,1.086,0.926,0.947
values_25,254,160,55,235,275,269,100.00,100.00,66.67,100.00,4.618,1.081,0.924,0.944
values_26,95,48,23,83,99,97,100.00,100.00,66.67,100.00,4.130,1.145,0.960,0.979
values_48,174,104,39,159,187,183,100.00,100.00,66.67,100.00,4.462,1.094,0.930,0.951
values_71,174,104,39,159,187,183,100.00,100.00,66.67,100.00,4.462,1.094,0.930,0.951
values_76,134,76,31,121,143,140,100.00,100.00,66.67,100.00,4.323,1.107,0.937,0.957
values_7,174,104,39,159,187,183,100.00,100.00,66.67,100.00,4.462,1.094,0.930,0.951
values_50,95,48,23,83,99,97,100.00,100.00,66.67,100.00,4.130,1.145,0.960,0.979
values_22,174,104,39,159,187,183,100.00,100.00,66.67,100.00,4.462,1.094,0.930,0.951
values_4,134,76,31,121,143,140,100.00,100.00,66.67,100.00,4.323,1.107,0.937,0.957
values_32,174,104,39,159,187,183,100.00,100.00,66.67,100.00,4.462,1.094,0.930,0.951
