id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,4935242,3134912,100.0,100.0,53.4,31.76,31.76,0.00,63919,175767,119845,135821,100.00,100.00,66.67,100.00,77.211,28.078,41.180,36.336
values_19,12053473,7694683,100.0,100.0,53.4,31.92,31.92,0.00,154887,425929,290410,329128,100.00,100.00,66.67,100.00,77.821,28.299,41.505,36.622
values_12,5584392,3550749,100.0,100.0,53.4,31.79,31.79,0.00,72215,198581,135400,153450,100.00,100.00,66.67,100.00,77.330,28.121,41.244,36.392
values_38,14089856,8999136,100.0,100.0,53.4,31.93,31.93,0.00,180911,497495,339205,384429,100.00,100.00,66.67,100.00,77.883,28.322,41.538,36.651
values_81,2329189,1465549,100.0,100.0,53.4,31.46,31.46,0.00,30615,84181,57400,65050,100.00,100.00,66.67,100.00,76.080,27.669,40.578,35.806
values_5,8263043,5266628,100.0,100.0,53.4,31.87,31.87,0.00,106447,292719,199585,226193,100.00,100.00,66.67,100.00,77.626,28.229,41.401,36.531
values_40,12564289,8021899,100.0,100.0,53.4,31.92,31.92,0.00,161415,443881,302650,343000,100.00,100.00,66.67,100.00,77.838,28.306,41.514,36.631
values_70,9933211,6336496,100.0,100.0,53.4,31.90,31.90,0.00,127791,351415,239605,271549,100.00,100.00,66.67,100.00,77.730,28.266,41.457,36.580
values_23,13802517,8815077,100.0,100.0,53.4,31.93,31.93,0.00,177239,487397,332320,376626,100.00,100.00,66.67,100.00,77.875,28.319,41.534,36.648
values_72,12124211,7739996,100.0,100.0,53.4,31.92,31.92,0.00,155791,428415,292105,331049,100.00,100.00,66.67,100.00,77.824,28.300,41.506,36.624
values_79,9105013,5805973,100.0,100.0,53.4,31.88,31.88,0.00,117207,322309,219760,249058,100.00,100.00,66.67,100.00,77.683,28.249,41.432,36.558
values_78,6622923,4216008,100.0,100.0,53.4,31.83,31.83,0.00,85487,235079,160285,181653,100.00,100.00,66.67,100.00,77.473,28.173,41.320,36.459
values_87,13624107,8700792,100.0,100.0,53.4,31.93,31.93,0.00,174959,481127,328045,371781,100.00,100.00,66.67,100.00,77.870,28.317,41.531,36.646
values_6,11371133,7257593,100.0,100.0,53.4,31.91,31.91,0.00,146167,401949,274060,310598,100.00,100.00,66.67,100.00,77.795,28.290,41.491,36.610
values_68,11737969,7492579,100.0,100.0,53.4,31.92,31.92,0.00,150855,414841,282850,320560,100.00,100.00,66.67,100.00,77.810,28.295,41.499,36.617
values_69,11782420,7521050,100.0,100.0,53.4,31.92,31.92,0.00,151423,416403,283915,321767,100.00,100.00,66.67,100.00,77.811,28.296,41.500,36.618
values_1,13912067,8885252,100.0,100.0,53.4,31.93,31.93,0.00,178639,491247,334945,379601,100.00,100.00,66.67,100.00,77.878,28.320,41.535,36.649
values_45,13148977,8396433,100.0,100.0,53.4,31.93,31.93,0.00,168887,464429,316660,358878,100.00,100.00,66.67,100.00,77.857,28.312,41.524,36.639
values_33,1949833,1222543,100.0,100.0,53.4,31.35,31.35,0.00,25767,70849,48310,54748,100.00,100.00,66.67,100.00,75.672,27.521,40.361,35.615
values_15,10447783,6666118,100.0,100.0,53.4,31.90,31.90,0.00,134367,369499,251935,285523,100.00,100.00,66.67,100.00,77.756,28.276,41.470,36.592
values_93,10275007,6555442,100.0,100.0,53.4,31.90,31.90,0.00,132159,363427,247795,280831,100.00,100.00,66.67,100.00,77.747,28.273,41.466,36.588
values_24,13585921,8676331,100.0,100.0,53.4,31.93,31.93,0.00,174471,479785,327130,370744,100.00,100.00,66.67,100.00,77.869,28.317,41.531,36.645
values_25,10577365,6749125,100.0,100.0,53.4,31.90,31.90,0.00,136023,374053,255040,289042,100.00,100.00,66.67,100.00,77.762,28.278,41.473,36.595
values_26,11083799,7073534,100.0,100.0,53.4,31.91,31.91,0.00,142495,391851,267175,302795,100.00,100.00,66.67,100.00,77.784,28.286,41.485,36.605
values_48,5332111,3389146,100.0,100.0,53.4,31.78,31.78,0.00,68991,189715,129355,146599,100.00,100.00,66.67,100.00,77.287,28.106,41.221,36.372
values_71,13281059,8481044,100.0,100.0,53.4,31.93,31.93,0.00,170575,469071,319825,362465,100.00,100.00,66.67,100.00,77.861,28.314,41.526,36.641
values_76,9620837,6136397,100.0,100.0,53.4,31.89,31.89,0.00,123799,340437,232120,263066,100.00,100.00,66.67,100.00,77.713,28.260,41.448,36.572
values_7,13276051,8477836,100.0,100.0,53.4,31.93,31.93,0.00,170511,468895,319705,362329,100.00,100.00,66.67,100.00,77.860,28.313,41.526,36.641
values_50,2895728,1828454,100.0,100.0,53.4,31.57,31.57,0.00,37855,104091,70975,80435,100.00,100.00,66.67,100.00,76.495,27.819,40.799,36.001
