id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,4725,1772,86.9,87.8,58.1,18.75,18.75,0.00,47,197,151,151,100.00,100.00,66.67,100.00,100.532,23.985,31.291,31.291
values_19,4597,1673,86.1,87.1,57.4,18.20,18.20,0.00,39,159,123,123,100.00,100.00,66.67,100.00,117.872,28.912,37.374,37.374
values_12,4597,1673,86.1,87.1,57.4,18.20,18.20,0.00,39,159,123,123,100.00,100.00,66.67,100.00,117.872,28.912,37.374,37.374
values_38,4725,1772,86.9,87.8,58.1,18.75,18.75,0.00,47,197,151,151,100.00,100.00,66.67,100.00,100.532,23.985,31.291,31.291
values_81,4725,1772,86.9,87.8,58.1,18.75,18.75,0.00,47,197,151,151,100.00,100.00,66.67,100.00,100.532,23.985,31.291,31.291
values_5,4597,1673,86.1,87.1,57.4,18.20,18.20,0.00,39,159,123,123,100.00,100.00,66.67,100.00,117.872,28.912,37.374,37.374
values_40,4853,1871,87.5,88.5,58.7,19.28,19.28,0.00,55,235,179,179,100.00,100.00,66.67,100.00,88.236,20.651,27.112,27.112
values_70,4469,1574,85.3,86.3,56.7,17.61,17.61,0.00,31,121,95,95,100.00,100.00,66.67,100.00,144.161,36.934,47.042,47.042
values_23,4469,1574,85.3,86.3,56.7,17.61,17.61,0.00,31,121,95,95,100.00,100.00,66.67,100.00,144.161,36.934,47.042,47.042
values_72,4725,1772,86.9,87.8,58.1,18.75,18.75,0.00,47,197,151,151,100.00,100.00,66.67,100.00,100.532,23.985,31.291,31.291
values_79,4725,1772,86.9,87.8,58.1,18.75,18.75,0.00,47,197,151,151,100.00,100.00,66.67,100.00,100.532,23.985,31.291,31.291
values_78,4341,1475,84.3,85.4,55.9,16.99,16.99,0.00,23,83,67,67,100.00,100.00,66.67,100.00,188.739,52.301,64.791,64.791
values_87,4597,1673,86.1,87.1,57.4,18.20,18.20,0.00,39,159,123,123,100.00,100.00,66.67,100.00,117.872,28.912,37.374,37.374
values_6,4469,1574,85.3,86.3,56.7,17.61,17.61,0.00,31,121,95,95,100.00,100.00,66.67,100.00,144.161,36.934,47.042,47.042
values_68,4725,1772,86.9,87.8,58.1,18.75,18.75,0.00,47,197,151,151,100.00,100.00,66.67,100.00,100.532,23.985,31.291,31.291
values_69,4725,1772,86.9,87.8,58.1,18.75,18.75,0.00,47,197,151,151,100.00,100.00,66.67,100.00,100.532,23.985,31.291,31.291
values_1,4725,1772,86.9,87.8,58.1,18.75,18.75,0.00,47,197,151,151,100.00,100.00,66.67,100.00,100.532,23.985,31.291,31.291
values_45,4597,1673,86.1,87.1,57.4,18.20,18.20,0.00,39,159,123,123,100.00,100.00,66.67,100.00,117.872,28.912,37.374,37.374
values_33,4725,1772,86.9,87.8,58.1,18.75,18.75,0.00,47,197,151,151,100.00,100.00,66.67,100.00,100.532,23.985,31.291,31.291
values_15,4597,1673,86.1,87.1,57.4,18.20,18.20,0.00,39,159,123,123,100.00,100.00,66.67,100.00,117.872,28.912,37.374,37.374
values_93,4597,1673,86.1,87.1,57.4,18.20,18.20,0.00,39,159,123,123,100.00,100.00,66.67,100.00,117.872,28.912,37.374,37.374
values_24,4469,1574,85.3,86.3,56.7,17.61,17.61,0.00,31,121,95,95,100.00,100.00,66.67,100.00,144.161,36.934,47.042,47.042
values_25,4341,1475,84.3,85.4,55.9,16.99,16.99,0.00,23,83,67,67,100.00,100.00,66.67,100.00,188.739,52.301,64.791,64.791
values_26,4725,1772,86.9,87.8,58.1,18.75,18.75,0.00,47,197,151,151,100.00,100.00,66.67,100.00,100.532,23.985,31.291,31.291
values_48,4725,1772,86.9,87.8,58.1,18.75,18.75,0.00,47,197,151,151,100.00,100.00,66.67,100.00,100.532,23.985,31.291,31.291
values_71,4341,1475,84.3,85.4,55.9,16.99,16.99,0.00,23,83,67,67,100.00,100.00,66.67,100.00,188.739,52.301,64.791,64.791
values_76,4725,1772,86.9,87.8,58.1,18.75,18.75,0.00,47,197,151,151,100.00,100.00,66.67,100.00,100.532,23.985,31.291,31.291
values_7,4597,1673,86.1,87.1,57.4,18.20,18.20,0.00,39,159,123,123,100.00,100.00,66.67,100.00,117.872,28.912,37.374,37.374
values_50,4469,1574,85.3,86.3,56.7,17.61,17.61,0.00,31,121,95,95,100.00,100.00,66.67,100.00,144.161,36.934,47.042,47.042
values_22,4469,1574,85.3,86.3,56.7,17.61,17.61,0.00,31,121,95,95,100.00,100.00,66.67,100.00,144.161,36.934,47.042,47.042
values_4,4597,1673,86.1,87.1,57.4,18.20,18.20,0.00,39,159,123,123,100.00,100.00,66.67,100.00,117.872,28.912,37.374,37.374
values_32,4725,1772,86.9,87.8,58.1,18.75,18.75,0.00,47,197,151,151,100.00,100.00,66.67,100.00,100.532,23.985,31.291,31.291
values_77,4341,1475,84.3,85.4,55.9,16.99,16.99,0.00,23,83,67,67,100.00,100.00,66.67,100.00,188.739,52.301,64.791,64.791
values_91,4725,1772,86.9,87.8,58.1,18.75,18.75,0.00,47,197,151,151,100.00,100.00,66.67,100.00,100.532,23.985,31.291,31.291
values_42,4597,1673,86.1,87.1,57.4,18.20,18.20,0.00,39,159,123,123,100.00,100.00,66.67,100.00,117.872,28.912,37.374,37.374
values_13,4469,1574,85.3,86.3,56.7,17.61,17.61,0.00,31,121,95,95,100.00,100.00,66.67,100.00,144.161,36.934,47.042,47.042
values_41,4725,1772,86.9,87.8,58.1,18.75,18.75,0.00,47,197,151,151,100.00,100.00,66.67,100.00,100.532,23.985,31.291,31.291
values_55,4597,1673,86.1,87.1,57.4,18.20,18.20,0.00,39,159,123,123,100.00,100.00,66.67,100.00,117.872,28.912,37.374,37.374
values_31,4469,1574,85.3,86.3,56.7,17.61,17.61,0.00,31,121,95,95,100.00,100.00,66.67,100.00,144.161,36.934,47.042,47.042
values_66,4469,1574,85.3,86.3,56.7,17.61,17.61,0.00,31,121,95,95,100.00,100.00,66.67,100.00,144.161,36.934,47.042,47.042
values_65,4597,1673,86.1,87.1,57.4,18.20,18.20,0.00,39,159,123,123,100.00,100.00,66.67,100.00,117.872,28.912,37.374,37.374
values_62,4597,1673,86.1,87.1,57.4,18.20,18.20,0.00,39,159,123,123,100.00,100.00,66.67,100.00,117.872,28.912,37.374,37.374
values_21,4469,1574,85.3,86.3,56.7,17.61,17.61,0.00,31,121,95,95,100.00,100.00,66.67,100.00,144.161,36.934,47.042,47.042
values_95,4853,1871,87.5,88.5,58.7,19.28,19.28,0.00,55,235,179,179,100.00,100.00,66.67,100.00,88.236,20.651,27.112,27.112
values_84,4469,1574,85.3,86.3,56.7,17.61,17.61,0.00,31,121,95,95,100.00,100.00,66.67,100.00,144.161,36.934,47.042,47.042
values_58,4597,1673,86.1,87.1,57.4,18.20,18.20,0.00,39,159,123,123,100.00,100.00,66.67,100.00,117.872,28.912,37.374,37.374
values_64,4597,1673,86.1,87.1,57.4,18.20,18.20,0.00,39,159,123,123,100.00,100.00,66.67,100.00,117.872,28.912,37.374,37.374
values_83,4725,1772,86.9,87.8,58.1,18.75,18.75,0.00,47,197,151,151,100.00,100.00,66.67,100.00,100.532,23.985,31.291,31.291
values_94,4597,1673,86.1,87.1,57.4,18.20,18.20,0.00,39,159,123,123,100.00,100.00,66.67,100.00,117.872,28.912,37.374,37.374
values_0,4341,1475,84.3,85.4,55.9,16.99,16.99,0.00,23,83,67,67,100.00,100.00,66.67,100.00,188.739,52.301,64.791,64.791
values_99,4597,1673,86.1,87.1,57.4,18.20,18.20,0.00,39,159,123,123,100.00,100.00,66.67,100.00,117.872,28.912,37.374,37.374
values_96,4469,1574,85.3,86.3,56.7,17.61,17.61,0.00,31,121,95,95,100.00,100.00,66.67,100.00,144.161,36.934,47.042,47.042
values_67,4597,1673,86.1,87.1,57.4,18.20,18.20,0.00,39,159,123,123,100.00,100.00,66.67,100.00,117.872,28.912,37.374,37.374
