id,clockCycles,assemblyInstr,Cache,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,148591,148591,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '13069372', '0', '4028780', '0', '160956', '0', '0', '3.995']",147711,406195,276956,313881,100.00,100.00,66.67,100.00,1.006,0.366,0.537,0.473
values_19,182831,182831,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '13180652', '0', '4063020', '0', '160956', '0', '0', '3.961']",181951,500355,341156,386641,100.00,100.00,66.67,100.00,1.005,0.365,0.536,0.473
values_12,107735,107735,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '12936590', '0', '3987924', '0', '160956', '0', '0', '4.036']",106855,293841,200351,227062,100.00,100.00,66.67,100.00,1.008,0.367,0.538,0.474
values_38,150447,150447,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '13075404', '0', '4030636', '0', '160956', '0', '0', '3.993']",149567,411299,280436,317825,100.00,100.00,66.67,100.00,1.006,0.366,0.536,0.473
values_81,104343,104343,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '12925566', '0', '3984532', '0', '160956', '0', '0', '4.040']",103463,284513,193991,219854,100.00,100.00,66.67,100.00,1.009,0.367,0.538,0.475
values_5,162983,162983,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '13116146', '0', '4043172', '0', '160956', '0', '0', '3.981']",162103,445773,303941,344464,100.00,100.00,66.67,100.00,1.005,0.366,0.536,0.473
values_40,155975,155975,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '13093370', '0', '4036164', '0', '160956', '0', '0', '3.988']",155095,426501,290801,329572,100.00,100.00,66.67,100.00,1.006,0.366,0.536,0.473
values_70,107719,107719,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '12936538', '0', '3987908', '0', '160956', '0', '0', '4.036']",106839,293797,200321,227028,100.00,100.00,66.67,100.00,1.008,0.367,0.538,0.474
values_23,96679,96679,"['956804', '8845230', '126125', '1109097', '65080', '552203', '568376', '49.973', '12900626', '0', '3976868', '0', '160956', '0', '0', '4.047']",95799,263437,179621,203568,100.00,100.00,66.67,100.00,1.009,0.367,0.538,0.475
values_72,174311,174311,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '13152962', '0', '4054500', '0', '160956', '0', '0', '3.970']",173431,476925,325181,368536,100.00,100.00,66.67,100.00,1.005,0.365,0.536,0.473
values_79,178431,178431,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '13166352', '0', '4058620', '0', '160956', '0', '0', '3.966']",177551,488255,332906,377291,100.00,100.00,66.67,100.00,1.005,0.365,0.536,0.473
values_78,39623,39623,"['956852', '8845229', '126131', '1109096', '65080', '552203', '568376', '49.973', '12715178', '0', '3919812', '0', '160956', '0', '0', '4.106']",38743,106533,72641,82324,100.00,100.00,66.67,100.00,1.023,0.372,0.545,0.481
values_87,164567,164567,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '13121294', '0', '4044756', '0', '160956', '0', '0', '3.979']",163687,450129,306911,347830,100.00,100.00,66.67,100.00,1.005,0.366,0.536,0.473
values_6,118687,118687,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '12972184', '0', '3998876', '0', '160956', '0', '0', '4.025']",117807,323959,220886,250335,100.00,100.00,66.67,100.00,1.007,0.366,0.537,0.474
values_68,92855,92855,"['956852', '8845229', '126131', '1109096', '65080', '552203', '568376', '49.973', '12888182', '0', '3973044', '0', '160956', '0', '0', '4.051']",91975,252921,172451,195442,100.00,100.00,66.67,100.00,1.010,0.367,0.538,0.475
values_69,37127,37127,"['956852', '8845229', '126131', '1109096', '65080', '552203', '568376', '49.973', '12707066', '0', '3917316', '0', '160956', '0', '0', '4.109']",36247,99669,67961,77020,100.00,100.00,66.67,100.00,1.024,0.373,0.546,0.482
values_1,77487,77487,"['956852', '8845229', '126131', '1109096', '65080', '552203', '568376', '49.973', '12838236', '0', '3957676', '0', '160956', '0', '0', '4.067']",76607,210659,143636,162785,100.00,100.00,66.67,100.00,1.011,0.368,0.539,0.476
values_45,126175,126175,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '12996520', '0', '4006364', '0', '160956', '0', '0', '4.018']",125295,344551,234926,266247,100.00,100.00,66.67,100.00,1.007,0.366,0.537,0.474
values_33,150039,150039,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '13074078', '0', '4030228', '0', '160956', '0', '0', '3.994']",149159,410177,279671,316958,100.00,100.00,66.67,100.00,1.006,0.366,0.536,0.473
values_15,99431,99431,"['956804', '8845230', '126125', '1109097', '65080', '552203', '568376', '49.973', '12909570', '0', '3979620', '0', '160956', '0', '0', '4.045']",98551,271005,184781,209416,100.00,100.00,66.67,100.00,1.009,0.367,0.538,0.475
values_93,113687,113687,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '12955934', '0', '3993876', '0', '160956', '0', '0', '4.030']",112807,310209,211511,239710,100.00,100.00,66.67,100.00,1.008,0.366,0.537,0.474
values_24,170407,170407,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '13140274', '0', '4050596', '0', '160956', '0', '0', '3.974']",169527,466189,317861,360240,100.00,100.00,66.67,100.00,1.005,0.366,0.536,0.473
values_25,108567,108567,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '12939294', '0', '3988756', '0', '160956', '0', '0', '4.035']",107687,296129,201911,228830,100.00,100.00,66.67,100.00,1.008,0.367,0.538,0.474
values_26,114095,114095,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '12957260', '0', '3994284', '0', '160956', '0', '0', '4.030']",113215,311331,212276,240577,100.00,100.00,66.67,100.00,1.008,0.366,0.537,0.474
values_48,173639,173639,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '13150778', '0', '4053828', '0', '160956', '0', '0', '3.970']",172759,475077,323921,367108,100.00,100.00,66.67,100.00,1.005,0.365,0.536,0.473
values_71,55479,55479,"['956852', '8845229', '126131', '1109096', '65080', '552203', '568376', '49.973', '12766710', '0', '3935668', '0', '160956', '0', '0', '4.090']",54599,150137,102371,116018,100.00,100.00,66.67,100.00,1.016,0.370,0.542,0.478
values_76,53087,53087,"['956852', '8845229', '126131', '1109096', '65080', '552203', '568376', '49.973', '12758936', '0', '3933276', '0', '160956', '0', '0', '4.092']",52207,143559,97886,110935,100.00,100.00,66.67,100.00,1.017,0.370,0.542,0.479
values_7,138479,138479,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '13036508', '0', '4018668', '0', '160956', '0', '0', '4.005']",137599,378387,257996,292393,100.00,100.00,66.67,100.00,1.006,0.366,0.537,0.474
values_50,114127,114127,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '12957364', '0', '3994316', '0', '160956', '0', '0', '4.030']",113247,311419,212336,240645,100.00,100.00,66.67,100.00,1.008,0.366,0.537,0.474
values_22,145527,145527,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '13059414', '0', '4025716', '0', '160956', '0', '0', '3.998']",144647,397769,271211,307370,100.00,100.00,66.67,100.00,1.006,0.366,0.537,0.473
values_4,153719,153719,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '13086038', '0', '4033908', '0', '160956', '0', '0', '3.990']",152839,420297,286571,324778,100.00,100.00,66.67,100.00,1.006,0.366,0.536,0.473
values_32,173143,173143,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '13149166', '0', '4053332', '0', '160956', '0', '0', '3.971']",172263,473713,322991,366054,100.00,100.00,66.67,100.00,1.005,0.366,0.536,0.473
values_77,112399,112399,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '12951748', '0', '3992588', '0', '160956', '0', '0', '4.031']",111519,306667,209096,236973,100.00,100.00,66.67,100.00,1.008,0.367,0.538,0.474
values_91,143895,143895,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '13054110', '0', '4024084', '0', '160956', '0', '0', '4.000']",143015,393281,268151,303902,100.00,100.00,66.67,100.00,1.006,0.366,0.537,0.473
values_42,58615,58615,"['956852', '8845229', '126131', '1109096', '65080', '552203', '568376', '49.973', '12776902', '0', '3938804', '0', '160956', '0', '0', '4.086']",57735,158761,108251,122682,100.00,100.00,66.67,100.00,1.015,0.369,0.541,0.478
values_13,182847,182847,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '13180704', '0', '4063036', '0', '160956', '0', '0', '3.961']",181967,500399,341186,386675,100.00,100.00,66.67,100.00,1.005,0.365,0.536,0.473
values_41,121935,121935,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '12982740', '0', '4002124', '0', '160956', '0', '0', '4.022']",121055,332891,226976,257237,100.00,100.00,66.67,100.00,1.007,0.366,0.537,0.474
values_55,134783,134783,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '13024496', '0', '4014972', '0', '160956', '0', '0', '4.009']",133903,368223,251066,284539,100.00,100.00,66.67,100.00,1.007,0.366,0.537,0.474
values_31,84967,84967,"['956852', '8845229', '126131', '1109096', '65080', '552203', '568376', '49.973', '12862546', '0', '3965156', '0', '160956', '0', '0', '4.059']",84087,231229,157661,178680,100.00,100.00,66.67,100.00,1.010,0.367,0.539,0.476
values_66,151495,151495,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '13078810', '0', '4031684', '0', '160956', '0', '0', '3.992']",150615,414181,282401,320052,100.00,100.00,66.67,100.00,1.006,0.366,0.536,0.473
values_65,144407,144407,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '13055774', '0', '4024596', '0', '160956', '0', '0', '3.999']",143527,394689,269111,304990,100.00,100.00,66.67,100.00,1.006,0.366,0.537,0.473
values_62,178367,178367,"['956716', '8845232', '126114', '1109099', '65080', '552203', '568376', '49.974', '13166144', '0', '4058556', '0', '160956', '0', '0', '3.966']",177487,488079,332786,377155,100.00,100.00,66.67,100.00,1.005,0.365,0.536,0.473
