id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,119,83,431,2021,1495,2185,100.00,100.00,66.67,100.00,0.276,0.059,0.080,0.054
values_19,119,83,439,2059,1523,2226,100.00,100.00,66.67,100.00,0.271,0.058,0.078,0.053
values_12,119,83,479,2249,1663,2431,100.00,100.00,66.67,100.00,0.248,0.053,0.072,0.049
values_38,119,83,239,1109,823,1201,100.00,100.00,66.67,100.00,0.498,0.107,0.145,0.099
values_81,119,83,111,501,375,545,100.00,100.00,66.67,100.00,1.072,0.238,0.317,0.218
values_5,119,83,343,1603,1187,1734,100.00,100.00,66.67,100.00,0.347,0.074,0.100,0.069
values_40,119,83,551,2591,1915,2800,100.00,100.00,66.67,100.00,0.216,0.046,0.062,0.043
values_70,119,83,319,1489,1103,1611,100.00,100.00,66.67,100.00,0.373,0.080,0.108,0.074
values_23,119,83,159,729,543,791,100.00,100.00,66.67,100.00,0.748,0.163,0.219,0.150
values_72,119,83,511,2401,1775,2595,100.00,100.00,66.67,100.00,0.233,0.050,0.067,0.046
values_79,119,83,623,2933,2167,3169,100.00,100.00,66.67,100.00,0.191,0.041,0.055,0.038
values_78,119,83,663,3123,2307,3374,100.00,100.00,66.67,100.00,0.179,0.038,0.052,0.035
values_87,119,83,551,2591,1915,2800,100.00,100.00,66.67,100.00,0.216,0.046,0.062,0.043
values_6,119,83,575,2705,1999,2923,100.00,100.00,66.67,100.00,0.207,0.044,0.060,0.041
values_68,119,83,623,2933,2167,3169,100.00,100.00,66.67,100.00,0.191,0.041,0.055,0.038
values_69,119,83,719,3389,2503,3661,100.00,100.00,66.67,100.00,0.166,0.035,0.048,0.033
values_1,119,83,359,1679,1243,1816,100.00,100.00,66.67,100.00,0.331,0.071,0.096,0.066
values_45,119,83,207,957,711,1037,100.00,100.00,66.67,100.00,0.575,0.124,0.167,0.115
values_33,119,83,399,1869,1383,2021,100.00,100.00,66.67,100.00,0.298,0.064,0.086,0.059
values_15,119,83,263,1223,907,1324,100.00,100.00,66.67,100.00,0.452,0.097,0.131,0.090
values_93,119,83,551,2591,1915,2800,100.00,100.00,66.67,100.00,0.216,0.046,0.062,0.043
values_24,119,83,455,2135,1579,2308,100.00,100.00,66.67,100.00,0.262,0.056,0.075,0.052
values_25,119,83,415,1945,1439,2103,100.00,100.00,66.67,100.00,0.287,0.061,0.083,0.057
values_26,119,83,511,2401,1775,2595,100.00,100.00,66.67,100.00,0.233,0.050,0.067,0.046
values_48,119,83,463,2173,1607,2349,100.00,100.00,66.67,100.00,0.257,0.055,0.074,0.051
values_71,119,83,439,2059,1523,2226,100.00,100.00,66.67,100.00,0.271,0.058,0.078,0.053
values_76,119,83,519,2439,1803,2636,100.00,100.00,66.67,100.00,0.229,0.049,0.066,0.045
values_7,119,83,543,2553,1887,2759,100.00,100.00,66.67,100.00,0.219,0.047,0.063,0.043
values_50,119,83,695,3275,2419,3538,100.00,100.00,66.67,100.00,0.171,0.036,0.049,0.034
values_22,119,83,327,1527,1131,1652,100.00,100.00,66.67,100.00,0.364,0.078,0.105,0.072
values_4,119,83,679,3199,2363,3456,100.00,100.00,66.67,100.00,0.175,0.037,0.050,0.034
values_32,119,83,687,3237,2391,3497,100.00,100.00,66.67,100.00,0.173,0.037,0.050,0.034
values_77,119,83,599,2819,2083,3046,100.00,100.00,66.67,100.00,0.199,0.042,0.057,0.039
values_91,119,83,239,1109,823,1201,100.00,100.00,66.67,100.00,0.498,0.107,0.145,0.099
values_42,119,83,151,691,515,750,100.00,100.00,66.67,100.00,0.788,0.172,0.231,0.159
values_13,119,83,687,3237,2391,3497,100.00,100.00,66.67,100.00,0.173,0.037,0.050,0.034
values_41,119,83,351,1641,1215,1775,100.00,100.00,66.67,100.00,0.339,0.073,0.098,0.067
values_55,119,83,647,3047,2251,3292,100.00,100.00,66.67,100.00,0.184,0.039,0.053,0.036
values_31,119,83,623,2933,2167,3169,100.00,100.00,66.67,100.00,0.191,0.041,0.055,0.038
values_66,119,83,471,2211,1635,2390,100.00,100.00,66.67,100.00,0.253,0.054,0.073,0.050
values_65,119,83,655,3085,2279,3333,100.00,100.00,66.67,100.00,0.182,0.039,0.052,0.036
values_62,119,83,375,1755,1299,1898,100.00,100.00,66.67,100.00,0.317,0.068,0.092,0.063
values_21,119,83,335,1565,1159,1693,100.00,100.00,66.67,100.00,0.355,0.076,0.103,0.070
values_95,119,83,471,2211,1635,2390,100.00,100.00,66.67,100.00,0.253,0.054,0.073,0.050
values_84,119,83,423,1983,1467,2144,100.00,100.00,66.67,100.00,0.281,0.060,0.081,0.056
values_58,119,83,695,3275,2419,3538,100.00,100.00,66.67,100.00,0.171,0.036,0.049,0.034
values_64,119,83,231,1071,795,1160,100.00,100.00,66.67,100.00,0.515,0.111,0.150,0.103
values_83,119,83,415,1945,1439,2103,100.00,100.00,66.67,100.00,0.287,0.061,0.083,0.057
values_94,119,83,527,2477,1831,2677,100.00,100.00,66.67,100.00,0.226,0.048,0.065,0.044
values_0,119,83,719,3389,2503,3661,100.00,100.00,66.67,100.00,0.166,0.035,0.048,0.033
values_99,119,83,583,2743,2027,2964,100.00,100.00,66.67,100.00,0.204,0.043,0.059,0.040
values_96,119,83,319,1489,1103,1611,100.00,100.00,66.67,100.00,0.373,0.080,0.108,0.074
values_67,119,83,655,3085,2279,3333,100.00,100.00,66.67,100.00,0.182,0.039,0.052,0.036
values_61,119,83,671,3161,2335,3415,100.00,100.00,66.67,100.00,0.177,0.038,0.051,0.035
values_43,119,83,695,3275,2419,3538,100.00,100.00,66.67,100.00,0.171,0.036,0.049,0.034
values_2,119,83,335,1565,1159,1693,100.00,100.00,66.67,100.00,0.355,0.076,0.103,0.070
values_54,119,83,303,1413,1047,1529,100.00,100.00,66.67,100.00,0.393,0.084,0.114,0.078
values_30,119,83,703,3313,2447,3579,100.00,100.00,66.67,100.00,0.169,0.036,0.049,0.033
values_59,119,83,495,2325,1719,2513,100.00,100.00,66.67,100.00,0.240,0.051,0.069,0.047
values_85,119,83,127,577,431,627,100.00,100.00,66.67,100.00,0.937,0.206,0.276,0.190
values_74,119,83,687,3237,2391,3497,100.00,100.00,66.67,100.00,0.173,0.037,0.050,0.034
values_90,119,83,503,2363,1747,2554,100.00,100.00,66.67,100.00,0.237,0.050,0.068,0.047
values_18,119,83,383,1793,1327,1939,100.00,100.00,66.67,100.00,0.311,0.066,0.090,0.061
values_52,119,83,527,2477,1831,2677,100.00,100.00,66.67,100.00,0.226,0.048,0.065,0.044
values_44,119,83,719,3389,2503,3661,100.00,100.00,66.67,100.00,0.166,0.035,0.048,0.033
values_17,119,83,383,1793,1327,1939,100.00,100.00,66.67,100.00,0.311,0.066,0.090,0.061
values_36,119,83,623,2933,2167,3169,100.00,100.00,66.67,100.00,0.191,0.041,0.055,0.038
values_49,119,83,551,2591,1915,2800,100.00,100.00,66.67,100.00,0.216,0.046,0.062,0.043
values_86,119,83,551,2591,1915,2800,100.00,100.00,66.67,100.00,0.216,0.046,0.062,0.043
values_37,119,83,687,3237,2391,3497,100.00,100.00,66.67,100.00,0.173,0.037,0.050,0.034
values_56,119,83,543,2553,1887,2759,100.00,100.00,66.67,100.00,0.219,0.047,0.063,0.043
values_63,119,83,495,2325,1719,2513,100.00,100.00,66.67,100.00,0.240,0.051,0.069,0.047
values_35,119,83,423,1983,1467,2144,100.00,100.00,66.67,100.00,0.281,0.060,0.081,0.056
values_97,119,83,567,2667,1971,2882,100.00,100.00,66.67,100.00,0.210,0.045,0.060,0.041
values_75,119,83,559,2629,1943,2841,100.00,100.00,66.67,100.00,0.213,0.045,0.061,0.042
values_57,119,83,623,2933,2167,3169,100.00,100.00,66.67,100.00,0.191,0.041,0.055,0.038
values_88,119,83,607,2857,2111,3087,100.00,100.00,66.67,100.00,0.196,0.042,0.056,0.039
values_10,119,83,559,2629,1943,2841,100.00,100.00,66.67,100.00,0.213,0.045,0.061,0.042
values_53,119,83,583,2743,2027,2964,100.00,100.00,66.67,100.00,0.204,0.043,0.059,0.040
values_8,119,83,543,2553,1887,2759,100.00,100.00,66.67,100.00,0.219,0.047,0.063,0.043
values_39,119,83,487,2287,1691,2472,100.00,100.00,66.67,100.00,0.244,0.052,0.070,0.048
values_47,119,83,719,3389,2503,3661,100.00,100.00,66.67,100.00,0.166,0.035,0.048,0.033
values_60,119,83,335,1565,1159,1693,100.00,100.00,66.67,100.00,0.355,0.076,0.103,0.070
values_89,119,83,727,3427,2531,3702,100.00,100.00,66.67,100.00,0.164,0.035,0.047,0.032
values_51,119,83,367,1717,1271,1857,100.00,100.00,66.67,100.00,0.324,0.069,0.094,0.064
values_14,119,83,415,1945,1439,2103,100.00,100.00,66.67,100.00,0.287,0.061,0.083,0.057
values_28,119,83,383,1793,1327,1939,100.00,100.00,66.67,100.00,0.311,0.066,0.090,0.061
values_16,119,83,527,2477,1831,2677,100.00,100.00,66.67,100.00,0.226,0.048,0.065,0.044
values_34,119,83,559,2629,1943,2841,100.00,100.00,66.67,100.00,0.213,0.045,0.061,0.042
values_82,119,83,551,2591,1915,2800,100.00,100.00,66.67,100.00,0.216,0.046,0.062,0.043
values_46,119,83,239,1109,823,1201,100.00,100.00,66.67,100.00,0.498,0.107,0.145,0.099
values_27,119,83,727,3427,2531,3702,100.00,100.00,66.67,100.00,0.164,0.035,0.047,0.032
values_20,119,83,631,2971,2195,3210,100.00,100.00,66.67,100.00,0.189,0.040,0.054,0.037
values_9,119,83,583,2743,2027,2964,100.00,100.00,66.67,100.00,0.204,0.043,0.059,0.040
values_92,119,83,367,1717,1271,1857,100.00,100.00,66.67,100.00,0.324,0.069,0.094,0.064
values_3,119,83,487,2287,1691,2472,100.00,100.00,66.67,100.00,0.244,0.052,0.070,0.048
values_98,119,83,503,2363,1747,2554,100.00,100.00,66.67,100.00,0.237,0.050,0.068,0.047
values_29,119,83,679,3199,2363,3456,100.00,100.00,66.67,100.00,0.175,0.037,0.050,0.034
values_80,119,83,607,2857,2111,3087,100.00,100.00,66.67,100.00,0.196,0.042,0.056,0.039
values_73,119,83,367,1717,1271,1857,100.00,100.00,66.67,100.00,0.324,0.069,0.094,0.064
