inputName,text,data,bss
values_11,604,22,10
values_19,604,34,10
values_12,604,50,10
values_38,604,28,10
values_81,604,22,10
values_5,600,18,10
values_40,604,42,10
values_70,600,42,10
values_23,604,36,10
values_72,600,50,10
values_79,600,34,10
values_78,600,28,10
values_87,604,60,10
values_6,600,12,10
values_68,604,28,10
values_69,604,34,10
values_1,600,22,10
values_45,604,18,10
values_33,604,36,10
values_15,604,18,10
values_93,604,36,10
values_24,604,42,10
values_25,604,18,10
values_26,604,12,10
values_48,604,28,10
values_71,600,22,10
values_76,600,12,10
values_7,600,60,10
values_50,600,42,10
values_22,604,50,10
values_4,600,42,10
values_32,604,50,10
values_77,600,60,10
values_91,604,22,10
values_42,604,50,10
values_13,604,36,10
values_41,604,22,10
values_55,600,18,10
values_31,604,22,10
values_66,604,12,10
values_65,604,18,10
values_62,604,50,10
values_21,604,22,10
values_95,604,18,10
values_84,604,42,10
values_58,600,28,10
values_64,604,42,10
values_83,604,36,10
values_94,604,42,10
values_0,600,42,10
values_99,604,34,10
values_96,604,12,10
values_67,604,60,10
values_61,604,22,10
values_43,604,36,10
values_2,600,50,10
values_54,600,42,10
values_30,604,42,10
values_59,600,34,10
values_85,604,18,10
values_74,600,42,10
values_90,604,42,10
values_18,604,28,10
values_52,600,50,10
values_44,604,42,10
values_17,604,60,10
values_36,604,12,10
values_49,604,34,10
values_86,604,12,10
values_37,604,60,10
values_56,600,12,10
values_63,604,36,10
values_35,604,18,10
values_97,604,60,10
values_75,600,18,10
values_57,600,60,10
values_88,604,28,10
values_10,604,42,10
values_53,600,36,10
values_8,600,28,10
values_39,604,34,10
values_47,604,60,10
values_60,604,42,10
values_89,604,34,10
values_51,600,22,10
values_14,604,42,10
values_28,604,28,10
values_16,604,12,10
values_34,604,42,10
values_82,604,50,10
values_46,604,12,10
values_27,604,60,10
values_20,604,42,10
values_9,600,34,10
values_92,604,50,10
values_3,600,36,10
values_98,604,28,10
values_29,604,34,10
values_80,604,42,10
values_73,600,36,10
