id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,4400,1429,83.3,84.4,64.0,16.24,16.24,0.00,30,203,172,156,100.00,90.91,50.00,100.00,146.667,21.675,25.581,28.205
values_19,4698,1591,84.8,85.6,73.8,16.93,16.93,0.00,63,484,398,356,100.00,90.91,68.18,100.00,74.571,9.707,11.804,13.197
values_12,5170,1898,87.1,87.7,80.9,18.36,18.36,0.00,121,948,777,678,100.00,100.00,72.73,100.00,42.727,5.454,6.654,7.625
values_38,5192,1881,86.8,87.4,80.4,18.11,18.11,0.00,119,900,760,657,100.00,100.00,77.27,100.00,43.630,5.769,6.832,7.903
values_81,4411,1435,83.4,84.5,65.2,16.27,16.27,0.00,31,229,183,167,100.00,90.91,50.00,100.00,142.290,19.262,24.104,26.413
values_5,5513,1942,86.0,86.6,79.9,17.61,17.61,0.00,132,969,846,703,100.00,100.00,72.73,100.00,41.765,5.689,6.517,7.842
values_40,5305,1928,86.8,87.4,80.3,18.17,18.17,0.00,130,955,827,707,100.00,90.91,77.27,100.00,40.808,5.555,6.415,7.504
values_70,5514,1991,86.7,87.2,81.8,18.05,18.05,0.00,142,1060,915,774,100.00,100.00,77.27,100.00,38.831,5.202,6.026,7.124
values_23,4713,1592,84.7,85.5,74.0,16.89,16.89,0.00,63,486,398,356,100.00,90.91,77.27,100.00,74.810,9.698,11.842,13.239
values_72,5026,1791,86.2,86.9,78.0,17.82,17.82,0.00,104,775,666,580,100.00,90.91,72.73,100.00,48.327,6.485,7.547,8.666
values_79,4576,1494,83.6,84.6,68.6,16.32,16.32,0.00,42,300,251,222,100.00,100.00,63.64,100.00,108.952,15.253,18.231,20.613
values_78,5368,1967,87.1,87.6,82.3,18.32,18.32,0.00,140,1062,914,786,100.00,90.91,77.27,100.00,38.343,5.055,5.873,6.830
values_87,5068,1725,85.0,85.7,76.6,17.02,17.02,0.00,89,707,580,503,100.00,100.00,77.27,100.00,56.944,7.168,8.738,10.076
values_6,4488,1451,83.1,84.2,64.4,16.17,16.17,0.00,35,211,198,173,100.00,90.91,54.55,100.00,128.229,21.270,22.667,25.942
values_68,4999,1757,85.9,86.6,77.4,17.57,17.57,0.00,93,715,587,510,100.00,100.00,72.73,100.00,53.753,6.992,8.516,9.802
values_69,4528,1460,83.1,84.1,65.2,16.12,16.12,0.00,37,223,211,183,100.00,90.91,54.55,100.00,122.378,20.305,21.460,24.743
values_1,4400,1429,83.3,84.4,64.0,16.24,16.24,0.00,30,203,172,156,100.00,90.91,50.00,100.00,146.667,21.675,25.581,28.205
values_45,5673,2106,87.4,87.9,83.0,18.56,18.56,0.00,165,1166,1050,869,100.00,100.00,72.73,100.00,34.382,4.865,5.403,6.528
values_33,4695,1565,84.2,85.1,72.4,16.67,16.67,0.00,59,428,370,328,100.00,90.91,68.18,100.00,79.576,10.970,12.689,14.314
