id,clockCycles,assemblyInstr,Cache,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,1378,1378,"['961234', '8845022', '126755', '1108816', '65046', '552261', '568399', '49.961', '12589562', '0', '3881568', '0', '161035', '0', '0', '4.149']",147,1142,955,816,100.00,100.00,72.73,100.00,9.374,1.207,1.443,1.689
values_19,1348,1348,"['961212', '8844998', '126744', '1108804', '65047', '552260', '568399', '49.962', '12589448', '0', '3881538', '0', '161023', '0', '0', '4.148']",140,1015,893,755,100.00,90.91,72.73,100.00,9.629,1.328,1.510,1.785
values_12,1245,1245,"['961248', '8845000', '126732', '1108805', '65038', '552269', '568400', '49.963', '12589092', '0', '3881434', '0', '161035', '0', '0', '4.149']",102,763,651,567,100.00,90.91,72.73,100.00,12.206,1.632,1.912,2.196
values_38,1098,1098,"['961076', '8844940', '126682', '1108786', '65046', '552261', '568398', '49.965', '12588600', '0', '3881287', '0', '160977', '0', '0', '4.148']",57,343,341,283,100.00,90.91,54.55,100.00,19.263,3.201,3.220,3.880
values_81,1213,1213,"['961132', '8844977', '126713', '1108795', '65042', '552260', '568397', '49.963', '12589000', '0', '3881403', '0', '160988', '0', '0', '4.148']",99,701,615,526,100.00,90.91,77.27,100.00,12.253,1.730,1.972,2.306
values_5,1224,1224,"['961166', '8844980', '126721', '1108795', '65045', '552262', '568398', '49.963', '12589034', '0', '3881414', '0', '160998', '0', '0', '4.148']",102,757,650,557,100.00,100.00,81.82,100.00,12.000,1.617,1.883,2.197
values_40,1100,1100,"['961188', '8844978', '126705', '1108777', '65029', '552262', '568388', '49.964', '12588596', '0', '3881290', '0', '160977', '0', '0', '4.148']",67,476,422,365,100.00,90.91,68.18,100.00,16.418,2.311,2.607,3.014
values_70,1101,1101,"['961194', '8844990', '126708', '1108783', '65029', '552262', '568388', '49.963', '12588610', '0', '3881291', '0', '160988', '0', '0', '4.148']",67,508,424,375,100.00,90.91,68.18,100.00,16.433,2.167,2.597,2.936
values_23,999,999,"['961184', '8844962', '126685', '1108780', '65037', '552265', '568397', '49.965', '12588242', '0', '3881188', '0', '160977', '0', '0', '4.148']",29,175,159,143,100.00,90.91,50.00,100.00,34.448,5.709,6.283,6.986
values_72,1272,1272,"['961266', '8845018', '126741', '1108814', '65037', '552270', '568400', '49.962', '12589190', '0', '3881461', '0', '161035', '0', '0', '4.149']",108,874,713,624,100.00,100.00,81.82,100.00,11.778,1.455,1.784,2.038
values_79,1122,1122,"['961118', '8844950', '126697', '1108780', '65044', '552263', '568397', '49.965', '12588678', '0', '3881312', '0', '160977', '0', '0', '4.147']",71,494,445,374,100.00,100.00,63.64,100.00,15.803,2.271,2.521,3.000
values_78,1332,1332,"['961194', '8845030', '126741', '1108831', '65044', '552263', '568403', '49.961', '12589430', '0', '3881521', '0', '161037', '0', '0', '4.149']",126,1005,814,712,100.00,90.91,72.73,100.00,10.571,1.325,1.636,1.871
values_87,1368,1368,"['961190', '8844995', '126742', '1108804', '65046', '552261', '568399', '49.962', '12589514', '0', '3881558', '0', '161018', '0', '0', '4.148']",146,1018,912,765,100.00,90.91,72.73,100.00,9.370,1.344,1.500,1.788
values_6,1257,1257,"['961176', '8844986', '126726', '1108798', '65044', '552263', '568398', '49.963', '12589144', '0', '3881447', '0', '161018', '0', '0', '4.148']",112,814,705,600,100.00,90.91,68.18,100.00,11.223,1.544,1.783,2.095
values_68,1388,1388,"['961210', '8845030', '126749', '1108831', '65046', '552261', '568404', '49.961', '12589606', '0', '3881577', '0', '161037', '0', '0', '4.149']",142,1101,917,783,100.00,90.91,63.64,100.00,9.775,1.261,1.514,1.773
values_69,1321,1321,"['961212', '8845010', '126744', '1108810', '65047', '552260', '568398', '49.962', '12589372', '0', '3881511', '0', '161035', '0', '0', '4.149']",131,1014,851,736,100.00,100.00,77.27,100.00,10.084,1.303,1.552,1.795
values_1,1306,1306,"['961200', '8844998', '126738', '1108804', '65047', '552260', '568399', '49.962', '12589316', '0', '3881496', '0', '161023', '0', '0', '4.148']",128,943,813,699,100.00,90.91,72.73,100.00,10.203,1.385,1.606,1.868
values_45,1350,1350,"['961224', '8845022', '126750', '1108816', '65047', '552260', '568399', '49.961', '12589476', '0', '3881540', '0', '161037', '0', '0', '4.149']",140,1079,896,774,100.00,90.91,72.73,100.00,9.643,1.251,1.507,1.744
values_33,1004,1004,"['961100', '8844970', '126676', '1108785', '65037', '552265', '568397', '49.965', '12588294', '0', '3881193', '0', '160977', '0', '0', '4.148']",30,203,171,155,100.00,90.91,50.00,100.00,33.467,4.946,5.871,6.477
values_15,1282,1282,"['961194', '8845004', '126735', '1108807', '65047', '552260', '568399', '49.962', '12589238', '0', '3881472', '0', '161018', '0', '0', '4.148']",118,917,758,649,100.00,100.00,77.27,100.00,10.864,1.398,1.691,1.975
values_93,1004,1004,"['961100', '8844970', '126676', '1108785', '65037', '552265', '568397', '49.965', '12588294', '0', '3881193', '0', '160977', '0', '0', '4.148']",30,203,171,155,100.00,90.91,50.00,100.00,33.467,4.946,5.871,6.477
values_24,1440,1440,"['961224', '8845018', '126756', '1108825', '65057', '552265', '568403', '49.962', '12589768', '0', '3881629', '0', '161059', '0', '0', '4.149']",160,1166,1026,871,100.00,90.91,77.27,100.00,9.000,1.235,1.404,1.653
values_25,1357,1357,"['961224', '8845016', '126750', '1108813', '65047', '552260', '568399', '49.962', '12589496', '0', '3881547', '0', '161035', '0', '0', '4.149']",143,1069,901,775,100.00,90.91,77.27,100.00,9.490,1.269,1.506,1.751
values_26,1356,1356,"['961218', '8845004', '126747', '1108807', '65045', '552262', '568398', '49.962', '12589482', '0', '3881546', '0', '161023', '0', '0', '4.148']",143,1035,899,768,100.00,90.91,72.73,100.00,9.483,1.310,1.508,1.766
values_48,1331,1331,"['961186', '8845012', '126737', '1108822', '65046', '552261', '568402', '49.962', '12589414', '0', '3881520', '0', '161051', '0', '0', '4.149']",127,949,805,695,100.00,90.91,72.73,100.00,10.480,1.403,1.653,1.915
values_71,1246,1246,"['961176', '8844986', '126726', '1108798', '65047', '552260', '568399', '49.963', '12589112', '0', '3881436', '0', '161018', '0', '0', '4.148']",109,803,684,587,100.00,100.00,68.18,100.00,11.431,1.552,1.822,2.123
values_76,1524,1524,"['961290', '8845046', '126783', '1108828', '65047', '552260', '568399', '49.960', '12590054', '0', '3881714', '0', '161051', '0', '0', '4.149']",192,1446,1230,1045,100.00,90.91,72.73,100.00,7.938,1.054,1.239,1.458
values_7,1526,1526,"['961278', '8845022', '126777', '1108816', '65047', '552260', '568398', '49.960', '12590034', '0', '3881716', '0', '161051', '0', '0', '4.149']",192,1396,1244,1032,100.00,90.91,68.18,100.00,7.948,1.093,1.227,1.479
values_50,1031,1031,"['961164', '8844972', '126693', '1108774', '65029', '552262', '568388', '49.964', '12588368', '0', '3881221', '0', '160977', '0', '0', '4.148']",45,336,276,244,100.00,100.00,63.64,100.00,22.911,3.068,3.736,4.225
values_22,1061,1061,"['961164', '8844952', '126690', '1108781', '65038', '552269', '568400', '49.965', '12588456', '0', '3881250', '0', '160982', '0', '0', '4.148']",46,299,276,236,100.00,90.91,54.55,100.00,23.065,3.548,3.844,4.496
values_4,1268,1268,"['961146', '8844976', '126717', '1108804', '65045', '552262', '568405', '49.963', '12589174', '0', '3881457', '0', '161018', '0', '0', '4.148']",107,740,674,559,100.00,90.91,72.73,100.00,11.850,1.714,1.881,2.268
values_32,1175,1175,"['961218', '8844988', '126717', '1108799', '65038', '552269', '568400', '49.963', '12588854', '0', '3881364', '0', '161018', '0', '0', '4.148']",80,600,506,440,100.00,90.91,68.18,100.00,14.688,1.958,2.322,2.670
values_77,1359,1359,"['961224', '8845010', '126750', '1108810', '65047', '552260', '568399', '49.962', '12589496', '0', '3881549', '0', '161035', '0', '0', '4.149']",143,1070,911,780,100.00,100.00,72.73,100.00,9.503,1.270,1.492,1.742
values_91,1360,1360,"['961218', '8845004', '126747', '1108807', '65047', '552260', '568397', '49.962', '12589490', '0', '3881550', '0', '161023', '0', '0', '4.148']",143,1055,916,774,100.00,90.91,68.18,100.00,9.510,1.289,1.485,1.757
values_42,1076,1076,"['961176', '8844964', '126696', '1108787', '65037', '552270', '568400', '49.965', '12588512', '0', '3881265', '0', '160977', '0', '0', '4.148']",49,370,311,270,100.00,100.00,63.64,100.00,21.959,2.908,3.460,3.985
values_13,1004,1004,"['961100', '8844970', '126676', '1108785', '65037', '552265', '568397', '49.965', '12588294', '0', '3881193', '0', '160977', '0', '0', '4.148']",30,203,171,155,100.00,90.91,50.00,100.00,33.467,4.946,5.871,6.477
