id,clockCycles,assemblyInstr,Cache,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,1388,1388,"['961654', '8845018', '126784', '1108789', '65045', '552262', '568403', '49.961', '12589444', '0', '3881578', '0', '161018', '0', '0', '4.148']",159,1165,851,848,100.00,90.91,72.73,100.00,8.730,1.191,1.631,1.637
values_19,1143,1143,"['961334', '8844966', '126715', '1108783', '65046', '552256', '568398', '49.964', '12588708', '0', '3881332', '0', '160988', '0', '0', '4.148']",72,518,394,392,100.00,90.91,72.73,100.00,15.875,2.207,2.901,2.916
values_12,1341,1341,"['961538', '8844994', '126760', '1108794', '65050', '552257', '568402', '49.962', '12589320', '0', '3881530', '0', '161018', '0', '0', '4.148']",133,961,719,716,100.00,90.91,72.73,100.00,10.083,1.395,1.865,1.873
values_38,980,980,"['961394', '8844918', '126708', '1108745', '65028', '552263', '568388', '49.965', '12588104', '0', '3881170', '0', '160972', '0', '0', '4.148']",31,187,154,153,100.00,90.91,54.55,100.00,31.613,5.241,6.364,6.405
values_81,1528,1528,"['961558', '8845069', '126789', '1107152', '65058', '552264', '568404', '50.028', '12573346', '0', '3876717', '0', '161035', '0', '0', '4.154']",210,1549,1149,1145,100.00,100.00,90.91,100.00,7.276,0.986,1.330,1.334
values_5,1402,1402,"['961598', '8845030', '126775', '1108803', '65049', '552258', '568402', '49.961', '12589524', '0', '3881591', '0', '161035', '0', '0', '4.149']",152,1118,837,833,100.00,90.91,72.73,100.00,9.224,1.254,1.675,1.683
values_40,1136,1136,"['961330', '8844966', '126714', '1108783', '65046', '552256', '568398', '49.964', '12588688', '0', '3881325', '0', '160988', '0', '0', '4.148']",70,506,385,383,100.00,90.91,72.73,100.00,16.229,2.245,2.951,2.966
values_70,1137,1137,"['961338', '8844978', '126716', '1108786', '65046', '552256', '568398', '49.964', '12588692', '0', '3881326', '0', '160988', '0', '0', '4.148']",71,524,392,390,100.00,90.91,68.18,100.00,16.014,2.170,2.901,2.915
values_23,1336,1336,"['961558', '8845030', '126765', '1108803', '65047', '552260', '568400', '49.961', '12589314', '0', '3881525', '0', '161035', '0', '0', '4.149']",131,1004,729,726,100.00,100.00,72.73,100.00,10.198,1.331,1.833,1.840
values_72,1234,1234,"['961466', '8844982', '126742', '1108791', '65044', '552263', '568404', '49.963', '12588984', '0', '3881423', '0', '160988', '0', '0', '4.148']",102,756,552,550,100.00,90.91,77.27,100.00,12.098,1.632,2.236,2.244
values_79,1246,1246,"['961422', '8845002', '126737', '1108792', '65046', '552256', '568397', '49.963', '12589038', '0', '3881435', '0', '161023', '0', '0', '4.149']",102,754,568,565,100.00,100.00,72.73,100.00,12.216,1.653,2.194,2.205
values_78,993,993,"['961410', '8844930', '126712', '1108748', '65028', '552263', '568388', '49.964', '12588150', '0', '3881183', '0', '160972', '0', '0', '4.147']",33,234,178,177,100.00,100.00,59.09,100.00,30.091,4.244,5.579,5.610
values_87,1084,1084,"['961106', '8844921', '126682', '1107111', '65040', '552262', '568398', '50.033', '12571890', '0', '3876273', '0', '160977', '0', '0', '4.153']",63,422,318,317,100.00,90.91,63.64,100.00,17.206,2.569,3.409,3.420
values_6,1175,1175,"['961402', '8844982', '126730', '1108774', '65043', '552259', '568397', '49.964', '12588794', '0', '3881365', '0', '160988', '0', '0', '4.148']",89,667,488,486,100.00,100.00,72.73,100.00,13.202,1.762,2.408,2.418
values_68,980,980,"['961394', '8844918', '126708', '1108745', '65028', '552263', '568388', '49.965', '12588104', '0', '3881170', '0', '160972', '0', '0', '4.148']",31,187,154,153,100.00,90.91,54.55,100.00,31.613,5.241,6.364,6.405
values_69,1245,1245,"['961414', '8844990', '126735', '1108789', '65047', '552255', '568398', '49.963', '12589034', '0', '3881434', '0', '161018', '0', '0', '4.148']",101,734,561,558,100.00,100.00,72.73,100.00,12.327,1.696,2.219,2.231
values_1,1366,1366,"['961634', '8845006', '126779', '1108786', '65046', '552261', '568399', '49.962', '12589380', '0', '3881556', '0', '161018', '0', '0', '4.148']",152,1113,819,816,100.00,90.91,72.73,100.00,8.987,1.227,1.668,1.674
values_45,1189,1189,"['961430', '8844970', '126733', '1108788', '65046', '552261', '568400', '49.963', '12588856', '0', '3881378', '0', '160988', '0', '0', '4.148']",87,662,485,483,100.00,90.91,59.09,100.00,13.667,1.796,2.452,2.462
values_33,1213,1213,"['961438', '8844946', '126735', '1108782', '65045', '552262', '568402', '49.963', '12588904', '0', '3881402', '0', '160988', '0', '0', '4.148']",97,662,505,503,100.00,90.91,63.64,100.00,12.505,1.832,2.402,2.412
values_15,1328,1328,"['961530', '8844994', '126758', '1108794', '65048', '552259', '568401', '49.962', '12589280', '0', '3881517', '0', '161018', '0', '0', '4.148']",129,937,702,699,100.00,90.91,72.73,100.00,10.295,1.417,1.892,1.900
values_93,1189,1189,"['961418', '8844934', '126730', '1108779', '65047', '552260', '568399', '49.964', '12588842', '0', '3881378', '0', '160988', '0', '0', '4.148']",87,611,469,467,100.00,100.00,72.73,100.00,13.667,1.946,2.535,2.546
