inputName,text,data,bss
values_11,6106,2732,1496
values_19,6106,2652,1496
values_12,6100,2596,1496
values_38,6106,2716,1496
values_81,6104,2732,1496
values_5,6100,2548,1496
values_40,6106,2636,1496
values_70,6106,2636,1496
values_23,6100,2612,1496
values_72,6100,2596,1496
values_79,6106,2652,1496
values_78,6106,2716,1496
values_87,6098,2556,1496
values_6,6106,2660,1496
values_68,6106,2716,1496
values_69,6106,2652,1496
values_1,6106,2732,1496
values_45,6100,2548,1496
values_33,6100,2612,1496
values_15,6100,2548,1496
values_93,6098,2612,1496
values_24,6106,2636,1496
values_25,6100,2548,1496
values_26,6106,2660,1496
values_48,6106,2716,1496
values_71,6106,2732,1496
values_76,6106,2660,1496
values_7,6100,2556,1496
values_50,6106,2636,1496
values_22,6100,2596,1496
values_4,6106,2636,1496
values_32,6100,2596,1496
values_77,6100,2556,1496
values_91,6104,2732,1496
values_42,6100,2596,1496
values_13,6100,2612,1496
values_41,6106,2732,1496
values_55,6100,2548,1496
values_31,6106,2732,1496
values_66,6106,2660,1496
values_65,6100,2548,1496
values_62,6100,2596,1496
values_21,6106,2732,1496
values_95,6098,2548,1496
values_84,6104,2636,1496
values_58,6106,2716,1496
values_64,6106,2636,1496
values_83,6098,2612,1496
values_94,6104,2636,1496
values_0,6106,2636,1496
values_99,6104,2652,1496
values_96,6104,2660,1496
values_67,6100,2556,1496
values_61,6106,2732,1496
values_43,6100,2612,1496
values_2,6100,2596,1496
values_54,6106,2636,1496
values_30,6106,2636,1496
values_59,6106,2652,1496
values_85,6098,2548,1496
values_74,6106,2636,1496
values_90,6104,2636,1496
values_18,6106,2716,1496
values_52,6100,2596,1496
values_44,6106,2636,1496
values_17,6100,2556,1496
values_36,6106,2660,1496
values_49,6106,2652,1496
values_86,6104,2660,1496
values_37,6100,2556,1496
values_56,6106,2660,1496
values_63,6100,2612,1496
values_35,6100,2548,1496
values_97,6098,2556,1496
values_75,6100,2548,1496
values_57,6100,2556,1496
values_88,6104,2716,1496
values_10,6106,2636,1496
values_53,6100,2612,1496
values_8,6106,2716,1496
values_39,6106,2652,1496
values_47,6100,2556,1496
values_60,6106,2636,1496
values_89,6104,2652,1496
values_51,6106,2732,1496
values_14,6106,2636,1496
values_28,6106,2716,1496
values_16,6106,2660,1496
values_34,6106,2636,1496
values_82,6098,2596,1496
values_46,6106,2660,1496
values_27,6100,2556,1496
values_20,6106,2636,1496
values_9,6106,2652,1496
values_92,6098,2596,1496
values_3,6100,2612,1496
values_98,6104,2716,1496
values_29,6106,2652,1496
values_80,6104,2636,1496
values_73,6100,2612,1496
