inputName,size
11,23
19,12
12,27
38,5
81,23
5,14
40,28
70,28
23,14
72,27
79,12
78,5
87,8
6,13
68,5
69,12
1,23
45,14
33,14
15,14
93,14
24,18
25,14
26,13
48,5
71,23
76,13
7,8
50,28
22,27
4,18
32,27
77,8
91,23
42,27
13,14
41,23
55,14
31,23
66,13
65,14
62,27
21,23
95,14
84,18
58,5
64,18
83,14
94,18
0,28
99,12
96,13
67,8
61,23
43,14
2,27
54,18
30,28
59,12
85,14
74,18
90,28
18,5
52,27
44,18
17,8
36,13
49,12
86,13
37,8
56,13
63,14
35,14
97,8
75,14
57,8
88,5
10,28
53,14
8,5
39,12
47,8
60,28
89,12
51,23
14,18
28,5
16,13
34,18
82,27
46,13
27,8
20,28
9,12
92,27
3,14
98,5
29,12
80,28
73,14
