id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,1804,1289,130,762,411,445,100.00,90.91,77.27,100.00,13.877,2.367,4.389,4.054
values_19,2195,1587,183,1084,577,638,100.00,90.91,68.18,100.00,11.995,2.025,3.804,3.440
values_12,499,332,31,166,91,92,100.00,90.91,54.55,100.00,16.097,3.006,5.484,5.424
values_38,1204,847,118,728,372,399,100.00,90.91,72.73,100.00,10.203,1.654,3.237,3.018
values_81,1801,1286,156,906,495,549,100.00,90.91,72.73,100.00,11.545,1.988,3.638,3.281
values_5,2073,1493,213,1279,679,754,100.00,90.91,72.73,100.00,9.732,1.621,3.053,2.749
values_40,2134,1540,184,1067,597,672,100.00,100.00,77.27,100.00,11.598,2.000,3.575,3.176
values_70,2134,1540,103,593,338,366,100.00,90.91,63.64,100.00,20.718,3.599,6.314,5.831
values_23,2195,1587,147,860,472,515,100.00,90.91,77.27,100.00,14.932,2.552,4.650,4.262
values_72,499,332,33,199,102,104,100.00,100.00,59.09,100.00,15.121,2.508,4.892,4.798
values_79,2195,1587,150,832,483,545,100.00,100.00,72.73,100.00,14.633,2.638,4.545,4.028
values_78,1207,850,151,915,490,539,100.00,90.91,77.27,100.00,7.993,1.319,2.463,2.239
values_87,2303,1672,283,1612,912,1029,100.00,100.00,81.82,100.00,8.138,1.429,2.525,2.238
values_6,1560,1101,103,573,340,382,100.00,90.91,63.64,100.00,15.146,2.723,4.588,4.084
values_68,1207,850,110,648,348,375,100.00,90.91,72.73,100.00,10.973,1.863,3.468,3.219
values_69,2195,1587,106,589,342,371,100.00,90.91,68.18,100.00,20.708,3.727,6.418,5.916
values_1,1804,1289,139,792,441,485,100.00,90.91,72.73,100.00,12.978,2.278,4.091,3.720
values_45,2073,1493,147,882,470,511,100.00,90.91,77.27,100.00,14.102,2.350,4.411,4.057
values_33,2192,1584,157,918,495,540,100.00,90.91,77.27,100.00,13.962,2.388,4.428,4.059
values_15,2073,1493,150,890,484,531,100.00,90.91,77.27,100.00,13.820,2.329,4.283,3.904
values_93,2146,1557,171,1014,549,612,100.00,100.00,77.27,100.00,12.550,2.116,3.909,3.507
values_24,1560,1101,137,839,446,491,100.00,100.00,72.73,100.00,11.387,1.859,3.498,3.177
values_25,2073,1493,204,1187,655,732,100.00,90.91,77.27,100.00,10.162,1.746,3.165,2.832
values_26,1560,1101,136,794,432,476,100.00,90.91,72.73,100.00,11.471,1.965,3.611,3.277
values_48,1207,850,80,488,260,278,100.00,100.00,72.73,100.00,15.088,2.473,4.642,4.342
values_71,1804,1289,92,517,293,315,100.00,90.91,68.18,100.00,19.609,3.489,6.157,5.727
values_76,1560,1101,111,664,358,395,100.00,100.00,77.27,100.00,14.054,2.349,4.358,3.949
values_7,2548,1838,241,1403,784,888,100.00,90.91,72.73,100.00,10.573,1.816,3.250,2.869
values_50,2132,1538,82,451,270,295,100.00,100.00,63.64,100.00,26.000,4.727,7.896,7.227
values_22,499,332,31,164,91,92,100.00,90.91,54.55,100.00,16.097,3.043,5.484,5.424
values_4,1560,1101,118,708,374,402,100.00,90.91,77.27,100.00,13.220,2.203,4.171,3.881
values_32,496,329,34,217,107,109,100.00,100.00,59.09,100.00,14.588,2.286,4.636,4.550
values_77,2548,1838,234,1346,754,851,100.00,100.00,81.82,100.00,10.889,1.893,3.379,2.994
values_91,1771,1268,156,931,505,563,100.00,90.91,77.27,100.00,11.353,1.902,3.507,3.146
values_42,499,332,34,217,107,109,100.00,100.00,59.09,100.00,14.676,2.300,4.664,4.578
values_13,2195,1587,180,1058,570,631,100.00,90.91,68.18,100.00,12.194,2.075,3.851,3.479
values_41,1804,1289,134,768,432,476,100.00,90.91,72.73,100.00,13.463,2.349,4.176,3.790
values_55,2071,1491,114,638,364,398,100.00,100.00,72.73,100.00,18.167,3.246,5.690,5.204
values_31,1801,1286,107,636,339,366,100.00,100.00,72.73,100.00,16.832,2.832,5.313,4.921
values_66,1560,1101,57,296,182,196,100.00,90.91,54.55,100.00,27.368,5.270,8.571,7.959
values_65,2073,1493,141,836,444,488,100.00,100.00,77.27,100.00,14.702,2.480,4.669,4.248
values_62,499,332,33,199,102,104,100.00,100.00,59.09,100.00,15.121,2.508,4.892,4.798
values_21,1804,1289,126,748,402,434,100.00,90.91,77.27,100.00,14.317,2.412,4.488,4.157
values_95,2040,1472,221,1314,720,805,100.00,90.91,86.36,100.00,9.231,1.553,2.833,2.534
