id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,1511,864,230,1099,704,618,100.00,100.00,100.00,100.00,6.570,1.375,2.146,2.445
values_19,376,198,62,247,166,130,100.00,100.00,100.00,100.00,6.065,1.522,2.265,2.892
values_12,141,63,22,68,50,38,100.00,80.00,60.00,100.00,6.409,2.074,2.820,3.711
values_38,3847,2213,588,2833,1832,1607,100.00,100.00,100.00,100.00,6.543,1.358,2.100,2.394
values_81,1511,864,230,1099,704,618,100.00,100.00,100.00,100.00,6.570,1.375,2.146,2.445
values_5,680,379,108,478,306,265,100.00,100.00,100.00,100.00,6.296,1.423,2.222,2.566
values_40,2479,1431,376,1825,1171,1030,100.00,100.00,100.00,100.00,6.593,1.358,2.117,2.407
values_70,2590,1504,388,1925,1222,1081,100.00,100.00,100.00,100.00,6.675,1.345,2.119,2.396
values_23,361,187,62,239,160,124,100.00,100.00,90.00,100.00,5.823,1.510,2.256,2.911
values_72,4837,2807,732,3661,2306,2045,100.00,100.00,100.00,100.00,6.608,1.321,2.098,2.365
values_79,254,128,42,162,104,82,100.00,100.00,80.00,100.00,6.048,1.568,2.442,3.098
values_78,986,557,152,696,452,393,100.00,100.00,100.00,100.00,6.487,1.417,2.181,2.509
values_87,2977,1727,460,2313,1416,1263,100.00,100.00,100.00,100.00,6.472,1.287,2.102,2.357
values_6,5410,3140,812,4049,2578,2281,100.00,100.00,100.00,100.00,6.663,1.336,2.099,2.372
values_68,415,221,70,295,186,150,100.00,100.00,100.00,100.00,5.929,1.407,2.231,2.767
values_69,1661,948,256,1220,778,683,100.00,100.00,100.00,100.00,6.488,1.361,2.135,2.432
values_1,4105,2377,624,3093,1955,1730,100.00,100.00,100.00,100.00,6.579,1.327,2.100,2.373
values_45,2899,1679,432,2113,1369,1204,100.00,100.00,100.00,100.00,6.711,1.372,2.118,2.408
values_33,3220,1862,492,2425,1530,1353,100.00,100.00,100.00,100.00,6.545,1.328,2.105,2.380
values_15,4507,2625,676,3421,2144,1907,100.00,100.00,100.00,100.00,6.667,1.317,2.102,2.363
values_93,4489,2609,680,3425,2139,1902,100.00,100.00,100.00,100.00,6.601,1.311,2.099,2.360
values_24,3457,2003,524,2597,1642,1453,100.00,100.00,100.00,100.00,6.597,1.331,2.105,2.379
values_25,5890,3418,888,4437,2811,2490,100.00,100.00,100.00,100.00,6.633,1.327,2.095,2.365
values_26,5959,3465,908,4605,2850,2541,100.00,100.00,100.00,100.00,6.563,1.294,2.091,2.345
values_48,1124,635,174,797,519,451,100.00,100.00,100.00,100.00,6.460,1.410,2.166,2.492
values_71,5230,3038,784,3921,2491,2206,100.00,100.00,100.00,100.00,6.671,1.334,2.100,2.371
values_76,2809,1613,432,2065,1333,1168,100.00,100.00,100.00,100.00,6.502,1.360,2.107,2.405
values_7,1745,1004,264,1292,816,721,100.00,100.00,100.00,100.00,6.610,1.351,2.138,2.420
values_50,5761,3345,872,4377,2751,2442,100.00,100.00,100.00,100.00,6.607,1.316,2.094,2.359
values_22,2806,1624,428,2113,1330,1177,100.00,100.00,100.00,100.00,6.556,1.328,2.110,2.384
values_4,3364,1946,508,2493,1596,1407,100.00,100.00,100.00,100.00,6.622,1.349,2.108,2.391
values_32,1550,887,238,1147,724,638,100.00,100.00,100.00,100.00,6.513,1.351,2.141,2.429
values_77,2812,1620,440,2157,1339,1186,100.00,100.00,100.00,100.00,6.391,1.304,2.100,2.371
values_91,2461,1415,380,1829,1166,1025,100.00,100.00,100.00,100.00,6.476,1.346,2.111,2.401
values_42,3157,1827,476,2337,1496,1319,100.00,100.00,100.00,100.00,6.632,1.351,2.110,2.393
