id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,,,768,3829,2407,2134,100.00,100.00,100.00,100.00,0,0,0,0
values_19,,,484,2401,1528,1351,100.00,100.00,100.00,100.00,0,0,0,0
values_12,,,676,3357,2096,1859,100.00,100.00,100.00,100.00,0,0,0,0
values_38,,,244,1144,745,650,100.00,100.00,100.00,100.00,0,0,0,0
values_81,,,792,4013,2497,2224,100.00,100.00,100.00,100.00,0,0,0,0
values_5,,,692,3509,2178,1941,100.00,100.00,100.00,100.00,0,0,0,0
values_40,,,156,724,465,406,100.00,100.00,100.00,100.00,0,0,0,0
values_70,,,704,3585,2211,1974,100.00,100.00,100.00,100.00,0,0,0,0
values_23,,,460,2277,1436,1271,100.00,100.00,100.00,100.00,0,0,0,0
values_72,,,208,982,625,548,100.00,100.00,100.00,100.00,0,0,0,0
values_79,,,856,4385,2695,2410,100.00,100.00,100.00,100.00,0,0,0,0
values_78,,,896,4501,2843,2522,100.00,100.00,100.00,100.00,0,0,0,0
values_87,,,920,4645,2903,2582,100.00,100.00,100.00,100.00,0,0,0,0
values_6,,,130,587,379,329,100.00,100.00,100.00,100.00,0,0,0,0
values_68,,,672,3377,2119,1882,100.00,100.00,100.00,100.00,0,0,0,0
values_69,,,212,1002,632,555,100.00,100.00,100.00,100.00,0,0,0,0
values_1,,,404,1989,1238,1097,100.00,100.00,100.00,100.00,0,0,0,0
values_45,,,62,247,166,130,100.00,100.00,100.00,100.00,0,0,0,0
values_33,,,736,3621,2315,2042,100.00,100.00,100.00,100.00,0,0,0,0
values_15,,,348,1725,1058,941,100.00,100.00,100.00,100.00,0,0,0,0
values_93,,,488,2369,1543,1354,100.00,100.00,100.00,100.00,0,0,0,0
values_24,,,500,2489,1562,1385,100.00,100.00,100.00,100.00,0,0,0,0
values_25,,,208,982,625,548,100.00,100.00,100.00,100.00,0,0,0,0
values_26,,,164,764,479,420,100.00,100.00,100.00,100.00,0,0,0,0
values_48,,,948,4849,3000,2679,100.00,100.00,100.00,100.00,0,0,0,0
values_71,,,480,2365,1509,1332,100.00,100.00,100.00,100.00,0,0,0,0
values_76,,,512,2565,1595,1418,100.00,100.00,100.00,100.00,0,0,0,0
values_7,,,768,3853,2425,2152,100.00,100.00,100.00,100.00,0,0,0,0
values_50,,,572,2925,1792,1603,100.00,100.00,100.00,100.00,0,0,0,0
values_22,,,576,2925,1831,1630,100.00,100.00,100.00,100.00,0,0,0,0
values_4,,,500,2437,1570,1381,100.00,100.00,100.00,100.00,0,0,0,0
values_32,,,660,3345,2072,1847,100.00,100.00,100.00,100.00,0,0,0,0
values_77,,,708,3485,2222,1961,100.00,100.00,100.00,100.00,0,0,0,0
values_91,,,26,88,57,45,100.00,100.00,70.00,100.00,0,0,0,0
values_42,,,294,1408,893,785,100.00,100.00,100.00,100.00,0,0,0,0
values_13,,,246,1195,744,658,100.00,100.00,100.00,100.00,0,0,0,0
values_41,,,860,4337,2698,2401,100.00,100.00,100.00,100.00,0,0,0,0
values_55,,,352,1709,1085,956,100.00,100.00,100.00,100.00,0,0,0,0
values_31,,,548,2681,1704,1503,100.00,100.00,100.00,100.00,0,0,0,0
values_66,,,326,1624,991,883,100.00,100.00,100.00,100.00,0,0,0,0
values_65,,,812,4041,2572,2275,100.00,100.00,100.00,100.00,0,0,0,0
values_62,,,316,1517,966,849,100.00,100.00,100.00,100.00,0,0,0,0
values_21,,,844,4241,2658,2361,100.00,100.00,100.00,100.00,0,0,0,0
values_95,,,376,1825,1171,1030,100.00,100.00,100.00,100.00,0,0,0,0
values_84,,,192,886,585,508,100.00,100.00,100.00,100.00,0,0,0,0
values_58,,,252,1224,789,694,100.00,100.00,100.00,100.00,0,0,0,0
values_64,,,924,4673,2916,2595,100.00,100.00,100.00,100.00,0,0,0,0
