inputName,text,data,bss
values_11,2814,8,34
values_19,2814,8,34
values_12,2814,8,34
values_38,2814,8,34
values_81,2814,8,34
values_5,2814,8,34
values_40,2814,8,34
values_70,2814,8,34
values_23,2814,8,34
values_72,2814,8,34
values_79,2814,8,34
values_78,2814,8,34
values_87,2814,8,34
values_6,2814,8,34
values_68,2814,8,34
values_69,2814,8,34
values_1,2814,8,34
values_45,2814,8,34
values_33,2814,8,34
values_15,2814,8,34
values_93,2814,8,34
values_24,2814,8,34
values_25,2814,8,34
values_26,2814,8,34
values_48,2814,8,34
values_71,2814,8,34
values_76,2814,8,34
values_7,2814,8,34
values_50,2814,8,34
values_22,2814,8,34
values_4,2814,8,34
values_32,2814,8,34
values_77,2814,8,34
values_91,2814,8,34
values_42,2814,8,34
values_13,2814,8,34
values_41,2814,8,34
values_55,2814,8,34
values_31,2814,8,34
values_66,2814,8,34
values_65,2814,8,34
values_62,2814,8,34
values_21,2814,8,34
values_95,2814,8,34
values_84,2814,8,34
values_58,2814,8,34
values_64,2814,8,34
values_83,2814,8,34
values_94,2814,8,34
values_0,2814,8,34
values_99,2814,8,34
values_96,2814,8,34
values_67,2814,8,34
values_61,2814,8,34
values_43,2814,8,34
values_2,2814,8,34
values_54,2814,8,34
values_30,2814,8,34
values_59,2814,8,34
values_85,2814,8,34
values_74,2814,8,34
values_90,2814,8,34
values_18,2814,8,34
values_52,2814,8,34
values_44,2814,8,34
values_17,2814,8,34
values_36,2814,8,34
values_49,2814,8,34
values_86,2814,8,34
values_37,2814,8,34
values_56,2814,8,34
values_63,2814,8,34
values_35,2814,8,34
values_97,2814,8,34
values_75,2814,8,34
values_57,2814,8,34
values_88,2814,8,34
values_10,2814,8,34
values_53,2814,8,34
values_8,2814,8,34
values_39,2814,8,34
values_47,2814,8,34
values_60,2814,8,34
values_89,2814,8,34
values_51,2814,8,34
values_14,2814,8,34
values_28,2814,8,34
values_16,2814,8,34
values_34,2814,8,34
values_82,2814,8,34
values_46,2814,8,34
values_27,2814,8,34
values_20,2814,8,34
values_9,2814,8,34
values_92,2814,8,34
values_3,2814,8,34
values_98,2814,8,34
values_29,2814,8,34
values_80,2814,8,34
values_73,2814,8,34
