id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,17336,9144,96.8,97.0,91.6,26.37,25.06,1.31,200,718,490,488,100.00,100.00,60.00,100.00,86.680,24.145,35.380,35.525
values_19,17475,9221,96.8,97.1,91.8,26.38,25.13,1.25,200,718,509,488,100.00,100.00,60.00,100.00,87.375,24.338,34.332,35.809
values_12,17371,9203,96.8,97.0,91.8,26.49,25.28,1.21,200,718,509,488,100.00,100.00,60.00,100.00,86.855,24.194,34.128,35.596
values_38,17348,9143,96.8,97.0,91.6,26.35,25.04,1.31,200,718,490,488,100.00,100.00,60.00,100.00,86.740,24.162,35.404,35.549
values_81,17260,9129,96.8,97.0,91.6,26.45,25.18,1.27,200,718,490,488,100.00,100.00,60.00,100.00,86.300,24.039,35.224,35.369
values_5,17248,9124,96.8,97.0,91.6,26.45,25.18,1.27,200,718,490,488,100.00,100.00,60.00,100.00,86.240,24.022,35.200,35.344
values_40,17122,9107,96.8,97.0,91.6,26.59,25.37,1.22,200,718,490,488,100.00,100.00,60.00,100.00,85.610,23.847,34.943,35.086
values_70,17379,9202,96.8,97.0,91.8,26.47,25.27,1.20,200,718,509,488,100.00,100.00,60.00,100.00,86.895,24.205,34.143,35.613
values_23,17600,9240,96.8,97.0,91.8,26.25,24.95,1.30,200,718,509,488,100.00,100.00,60.00,100.00,88.000,24.513,34.578,36.066
values_72,17360,9146,96.8,97.0,91.6,26.34,25.03,1.31,200,718,490,488,100.00,100.00,60.00,100.00,86.800,24.178,35.429,35.574
values_79,17481,9221,96.8,97.0,91.8,26.37,25.12,1.25,200,718,509,488,100.00,100.00,60.00,100.00,87.405,24.347,34.344,35.822
values_78,17256,9129,96.8,97.0,91.6,26.45,25.18,1.27,200,718,490,488,100.00,100.00,60.00,100.00,86.280,24.033,35.216,35.361
values_87,17248,9125,96.8,97.0,91.6,26.45,25.18,1.27,200,718,490,488,100.00,100.00,60.00,100.00,86.240,24.022,35.200,35.344
values_6,17252,9127,96.8,97.0,91.6,26.45,25.18,1.27,200,718,490,488,100.00,100.00,60.00,100.00,86.260,24.028,35.208,35.352
values_68,17248,9127,96.8,97.0,91.6,26.46,25.19,1.26,200,718,490,488,100.00,100.00,60.00,100.00,86.240,24.022,35.200,35.344
values_69,17254,9128,96.8,97.0,91.6,26.45,25.19,1.27,200,718,490,488,100.00,100.00,60.00,100.00,86.270,24.031,35.212,35.357
values_1,17230,9126,96.8,97.0,91.6,26.48,25.21,1.27,200,718,490,488,100.00,100.00,60.00,100.00,86.150,23.997,35.163,35.307
values_45,17344,9143,96.8,97.0,91.6,26.36,25.04,1.31,200,718,490,488,100.00,100.00,60.00,100.00,86.720,24.156,35.396,35.541
values_33,17371,9202,96.8,97.0,91.8,26.49,25.28,1.20,200,718,509,488,100.00,100.00,60.00,100.00,86.855,24.194,34.128,35.596
values_15,17349,9200,96.8,97.0,91.8,26.51,25.31,1.20,200,718,509,488,100.00,100.00,60.00,100.00,86.745,24.163,34.084,35.551
values_93,17348,9145,96.8,97.0,91.6,26.36,25.04,1.31,200,718,490,488,100.00,100.00,60.00,100.00,86.740,24.162,35.404,35.549
values_24,17504,9221,96.8,97.0,91.8,26.34,25.09,1.25,200,718,509,488,100.00,100.00,60.00,100.00,87.520,24.379,34.389,35.869
values_25,17575,9240,96.8,97.1,91.8,26.29,24.99,1.30,200,718,509,488,100.00,100.00,60.00,100.00,87.875,24.478,34.528,36.014
values_26,17340,9145,96.8,97.0,91.6,26.37,25.05,1.31,200,718,490,488,100.00,100.00,60.00,100.00,86.700,24.150,35.388,35.533
values_48,17344,9145,96.8,97.0,91.6,26.36,25.05,1.31,200,718,490,488,100.00,100.00,60.00,100.00,86.720,24.156,35.396,35.541
values_71,17248,9125,96.8,97.0,91.6,26.45,25.18,1.27,200,718,490,488,100.00,100.00,60.00,100.00,86.240,24.022,35.200,35.344
values_76,17504,9223,96.8,97.0,91.8,26.35,25.10,1.25,200,718,509,488,100.00,100.00,60.00,100.00,87.520,24.379,34.389,35.869
values_7,17600,9238,96.8,97.1,91.8,26.24,24.95,1.30,200,718,509,488,100.00,100.00,60.00,100.00,88.000,24.513,34.578,36.066
values_50,17118,9108,96.8,97.0,91.6,26.60,25.38,1.22,200,718,490,488,100.00,100.00,60.00,100.00,85.590,23.841,34.935,35.078
values_22,17477,9224,96.8,97.0,91.8,26.39,25.14,1.25,200,718,509,488,100.00,100.00,60.00,100.00,87.385,24.341,34.336,35.814
values_4,17483,9220,96.8,97.0,91.8,26.37,25.12,1.25,200,718,509,488,100.00,100.00,60.00,100.00,87.415,24.350,34.348,35.826
values_32,17115,9108,96.8,97.0,91.6,26.61,25.38,1.22,200,718,490,488,100.00,100.00,60.00,100.00,85.575,23.837,34.929,35.072
values_77,17467,9221,96.8,97.1,91.8,26.40,25.14,1.25,200,718,509,488,100.00,100.00,60.00,100.00,87.335,24.327,34.316,35.793
values_91,17222,9124,96.8,97.0,91.6,26.49,25.22,1.27,200,718,490,488,100.00,100.00,60.00,100.00,86.110,23.986,35.147,35.291
values_42,17477,9221,96.8,97.1,91.8,26.38,25.13,1.25,200,718,509,488,100.00,100.00,60.00,100.00,87.385,24.341,34.336,35.814
values_13,17248,9126,96.8,97.0,91.6,26.46,25.19,1.27,200,718,490,488,100.00,100.00,60.00,100.00,86.240,24.022,35.200,35.344
values_41,17479,9224,96.8,97.0,91.8,26.39,25.13,1.25,200,718,509,488,100.00,100.00,60.00,100.00,87.395,24.344,34.340,35.818
values_55,17130,9109,96.8,97.0,91.6,26.59,25.37,1.22,200,718,490,488,100.00,100.00,60.00,100.00,85.650,23.858,34.959,35.102
values_31,17248,9127,96.8,97.0,91.6,26.46,25.19,1.26,200,718,490,488,100.00,100.00,60.00,100.00,86.240,24.022,35.200,35.344
values_66,17126,9108,96.8,97.0,91.6,26.59,25.37,1.22,200,718,490,488,100.00,100.00,60.00,100.00,85.630,23.852,34.951,35.094
values_65,17577,9240,96.8,97.1,91.8,26.28,24.99,1.30,200,718,509,488,100.00,100.00,60.00,100.00,87.885,24.481,34.532,36.018
values_62,17250,9128,96.8,97.0,91.6,26.46,25.19,1.27,200,718,490,488,100.00,100.00,60.00,100.00,86.250,24.025,35.204,35.348
values_21,17355,9202,96.8,97.0,91.8,26.51,25.31,1.20,200,718,509,488,100.00,100.00,60.00,100.00,86.775,24.171,34.096,35.564
