id,clockCycles,assemblyInstr,Cache,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
values_19,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
values_12,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
values_38,1059,1059,"['957690', '8845165', '126272', '1109059', '65003', '552280', '568442', '49.969', '12589674', '0', '3881248', '0', '160972', '0', '0', '4.147']",200,928,662,623,100.00,100.00,60.00,100.00,5.295,1.141,1.600,1.700
values_81,1449,1449,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591200', '0', '3881638', '0', '161081', '0', '0', '4.150']",200,928,662,623,100.00,100.00,60.00,100.00,7.245,1.561,2.189,2.326
values_5,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
values_40,1449,1449,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591200', '0', '3881638', '0', '161081', '0', '0', '4.150']",200,928,662,623,100.00,100.00,60.00,100.00,7.245,1.561,2.189,2.326
values_70,1036,1036,"['957689', '8845162', '126271', '1109056', '65003', '552280', '568442', '49.969', '12589584', '0', '3881225', '0', '160972', '0', '0', '4.147']",75,209,159,138,100.00,100.00,70.00,100.00,13.813,4.957,6.516,7.507
values_23,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
values_72,1449,1449,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591200', '0', '3881638', '0', '161081', '0', '0', '4.150']",200,928,662,623,100.00,100.00,60.00,100.00,7.245,1.561,2.189,2.326
values_79,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
values_78,1449,1449,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591200', '0', '3881638', '0', '161081', '0', '0', '4.150']",200,928,662,623,100.00,100.00,60.00,100.00,7.245,1.561,2.189,2.326
values_87,1449,1449,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591200', '0', '3881638', '0', '161081', '0', '0', '4.150']",200,928,662,623,100.00,100.00,60.00,100.00,7.245,1.561,2.189,2.326
values_6,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
values_68,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
values_69,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
values_1,1449,1449,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591200', '0', '3881638', '0', '161081', '0', '0', '4.150']",200,928,662,623,100.00,100.00,60.00,100.00,7.245,1.561,2.189,2.326
values_45,1449,1449,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591200', '0', '3881638', '0', '161081', '0', '0', '4.150']",200,928,662,623,100.00,100.00,60.00,100.00,7.245,1.561,2.189,2.326
values_33,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
values_15,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
values_93,1449,1449,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591200', '0', '3881638', '0', '161081', '0', '0', '4.150']",200,928,662,623,100.00,100.00,60.00,100.00,7.245,1.561,2.189,2.326
values_24,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
values_25,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
values_26,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
values_48,1449,1449,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591200', '0', '3881638', '0', '161081', '0', '0', '4.150']",200,928,662,623,100.00,100.00,60.00,100.00,7.245,1.561,2.189,2.326
values_71,1449,1449,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591200', '0', '3881638', '0', '161081', '0', '0', '4.150']",200,928,662,623,100.00,100.00,60.00,100.00,7.245,1.561,2.189,2.326
values_76,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
values_7,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
values_50,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
values_22,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
values_4,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
values_32,1503,1503,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591380', '0', '3881692', '0', '161113', '0', '0', '4.151']",200,928,662,623,100.00,100.00,60.00,100.00,7.515,1.620,2.270,2.413
values_77,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
values_91,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
values_42,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
values_13,1449,1449,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591200', '0', '3881638', '0', '161081', '0', '0', '4.150']",200,928,662,623,100.00,100.00,60.00,100.00,7.245,1.561,2.189,2.326
values_41,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
values_55,1449,1449,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591200', '0', '3881638', '0', '161081', '0', '0', '4.150']",200,928,662,623,100.00,100.00,60.00,100.00,7.245,1.561,2.189,2.326
values_31,1449,1449,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591200', '0', '3881638', '0', '161081', '0', '0', '4.150']",200,928,662,623,100.00,100.00,60.00,100.00,7.245,1.561,2.189,2.326
values_66,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
values_65,1449,1449,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591200', '0', '3881638', '0', '161081', '0', '0', '4.150']",200,928,662,623,100.00,100.00,60.00,100.00,7.245,1.561,2.189,2.326
values_62,1036,1036,"['957689', '8845162', '126271', '1109056', '65003', '552280', '568442', '49.969', '12589584', '0', '3881225', '0', '160972', '0', '0', '4.147']",75,209,159,138,100.00,100.00,70.00,100.00,13.813,4.957,6.516,7.507
values_21,1449,1449,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591200', '0', '3881638', '0', '161081', '0', '0', '4.150']",200,928,662,623,100.00,100.00,60.00,100.00,7.245,1.561,2.189,2.326
values_95,1506,1506,"['957707', '8845215', '126289', '1109109', '65003', '552280', '568442', '49.966', '12591390', '0', '3881695', '0', '161098', '0', '0', '4.150']",200,966,757,737,100.00,100.00,60.00,100.00,7.530,1.559,1.989,2.043
