id,clockCycles,assemblyInstr,Cache,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,1554,1554,"['957799', '8845235', '126318', '1109108', '65004', '552279', '568441', '49.965', '12591474', '0', '3881743', '0', '161146', '0', '0', '4.151']",200,966,719,719,100.00,100.00,60.00,100.00,7.770,1.609,2.161,2.161
values_19,1554,1554,"['957799', '8845235', '126318', '1109108', '65004', '552279', '568441', '49.965', '12591474', '0', '3881743', '0', '161146', '0', '0', '4.151']",200,966,719,719,100.00,100.00,60.00,100.00,7.770,1.609,2.161,2.161
values_12,1554,1554,"['957799', '8845235', '126318', '1109108', '65004', '552279', '568441', '49.965', '12591474', '0', '3881743', '0', '161146', '0', '0', '4.151']",200,966,719,719,100.00,100.00,60.00,100.00,7.770,1.609,2.161,2.161
values_38,1075,1075,"['957765', '8845185', '126284', '1109058', '65004', '552279', '568441', '49.969', '12589622', '0', '3881264', '0', '160977', '0', '0', '4.148']",200,928,662,662,100.00,100.00,60.00,100.00,5.375,1.158,1.624,1.624
values_81,1497,1497,"['957799', '8845235', '126318', '1109108', '65004', '552279', '568441', '49.965', '12591246', '0', '3881686', '0', '161146', '0', '0', '4.151']",200,928,662,662,100.00,100.00,60.00,100.00,7.485,1.613,2.261,2.261
values_5,1554,1554,"['957799', '8845235', '126318', '1109108', '65004', '552279', '568441', '49.965', '12591474', '0', '3881743', '0', '161146', '0', '0', '4.151']",200,966,719,719,100.00,100.00,60.00,100.00,7.770,1.609,2.161,2.161
values_40,1497,1497,"['957799', '8845235', '126318', '1109108', '65004', '552279', '568441', '49.965', '12591246', '0', '3881686', '0', '161146', '0', '0', '4.151']",200,928,662,662,100.00,100.00,60.00,100.00,7.485,1.613,2.261,2.261
values_70,1050,1050,"['957763', '8845182', '126282', '1109055', '65004', '552279', '568441', '49.969', '12589526', '0', '3881239', '0', '160972', '0', '0', '4.147']",75,209,159,159,100.00,100.00,70.00,100.00,14.000,5.024,6.604,6.604
values_23,1554,1554,"['957799', '8845235', '126318', '1109108', '65004', '552279', '568441', '49.965', '12591474', '0', '3881743', '0', '161146', '0', '0', '4.151']",200,966,719,719,100.00,100.00,60.00,100.00,7.770,1.609,2.161,2.161
values_72,1497,1497,"['957799', '8845235', '126318', '1109108', '65004', '552279', '568441', '49.965', '12591246', '0', '3881686', '0', '161146', '0', '0', '4.151']",200,928,662,662,100.00,100.00,60.00,100.00,7.485,1.613,2.261,2.261
values_79,1554,1554,"['957799', '8845235', '126318', '1109108', '65004', '552279', '568441', '49.965', '12591474', '0', '3881743', '0', '161146', '0', '0', '4.151']",200,966,719,719,100.00,100.00,60.00,100.00,7.770,1.609,2.161,2.161
values_78,1497,1497,"['957799', '8845235', '126318', '1109108', '65004', '552279', '568441', '49.965', '12591246', '0', '3881686', '0', '161146', '0', '0', '4.151']",200,928,662,662,100.00,100.00,60.00,100.00,7.485,1.613,2.261,2.261
values_87,1497,1497,"['957799', '8845235', '126318', '1109108', '65004', '552279', '568441', '49.965', '12591246', '0', '3881686', '0', '161146', '0', '0', '4.151']",200,928,662,662,100.00,100.00,60.00,100.00,7.485,1.613,2.261,2.261
values_6,1554,1554,"['957799', '8845235', '126318', '1109108', '65004', '552279', '568441', '49.965', '12591474', '0', '3881743', '0', '161146', '0', '0', '4.151']",200,966,719,719,100.00,100.00,60.00,100.00,7.770,1.609,2.161,2.161
values_68,1554,1554,"['957799', '8845235', '126318', '1109108', '65004', '552279', '568441', '49.965', '12591474', '0', '3881743', '0', '161146', '0', '0', '4.151']",200,966,719,719,100.00,100.00,60.00,100.00,7.770,1.609,2.161,2.161
values_69,1554,1554,"['957799', '8845235', '126318', '1109108', '65004', '552279', '568441', '49.965', '12591474', '0', '3881743', '0', '161146', '0', '0', '4.151']",200,966,719,719,100.00,100.00,60.00,100.00,7.770,1.609,2.161,2.161
values_1,1497,1497,"['957799', '8845235', '126318', '1109108', '65004', '552279', '568441', '49.965', '12591246', '0', '3881686', '0', '161146', '0', '0', '4.151']",200,928,662,662,100.00,100.00,60.00,100.00,7.485,1.613,2.261,2.261
values_45,1497,1497,"['957799', '8845235', '126318', '1109108', '65004', '552279', '568441', '49.965', '12591246', '0', '3881686', '0', '161146', '0', '0', '4.151']",200,928,662,662,100.00,100.00,60.00,100.00,7.485,1.613,2.261,2.261
values_33,1554,1554,"['957799', '8845235', '126318', '1109108', '65004', '552279', '568441', '49.965', '12591474', '0', '3881743', '0', '161146', '0', '0', '4.151']",200,966,719,719,100.00,100.00,60.00,100.00,7.770,1.609,2.161,2.161
values_15,1554,1554,"['957799', '8845235', '126318', '1109108', '65004', '552279', '568441', '49.965', '12591474', '0', '3881743', '0', '161146', '0', '0', '4.151']",200,966,719,719,100.00,100.00,60.00,100.00,7.770,1.609,2.161,2.161
values_93,1497,1497,"['957799', '8845235', '126318', '1109108', '65004', '552279', '568441', '49.965', '12591246', '0', '3881686', '0', '161146', '0', '0', '4.151']",200,928,662,662,100.00,100.00,60.00,100.00,7.485,1.613,2.261,2.261
values_24,1554,1554,"['957799', '8845235', '126318', '1109108', '65004', '552279', '568441', '49.965', '12591474', '0', '3881743', '0', '161146', '0', '0', '4.151']",200,966,719,719,100.00,100.00,60.00,100.00,7.770,1.609,2.161,2.161
