id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_19,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_12,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_38,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_81,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_5,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_40,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_70,79,54,75,211,158,119,100.00,100.00,70.00,100.00,1.053,0.374,0.500,0.664
values_23,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_72,79,54,75,211,158,119,100.00,100.00,70.00,100.00,1.053,0.374,0.500,0.664
values_79,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_78,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_87,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_6,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_68,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_69,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_1,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_45,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_33,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_15,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_93,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_24,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_25,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_26,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_48,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_71,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_76,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_7,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_50,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_22,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_4,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_32,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_77,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_91,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_42,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_13,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_41,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_55,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_31,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_66,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_65,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_62,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_21,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_95,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_84,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_58,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_64,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_83,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_94,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_0,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_99,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_96,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_67,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_61,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_43,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_2,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_54,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_30,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_59,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_85,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_74,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_90,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_18,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_52,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_44,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_17,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_36,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_49,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_86,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_37,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_56,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_63,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_35,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_97,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_75,79,54,200,1004,756,754,100.00,100.00,60.00,100.00,0.395,0.079,0.104,0.105
values_57,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
values_88,79,54,200,966,661,640,100.00,100.00,60.00,100.00,0.395,0.082,0.120,0.123
